setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_CYTOSOLIC_RIBOSOME	93	-0.658024643924565	-2.79635121536231	1.12211427323067e-15	6.78879135304553e-13	5.82318249160756e-13	1399	tags=48%, list=9%, signal=44%	ENSMUSG00000032518/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000022548/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000098274/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_RIBOSOMAL_SUBUNIT	169	-0.481571040315523	-2.25170726793524	2.81009620371725e-10	8.50054101624469e-08	7.2914601496453e-08	1797	tags=33%, list=11%, signal=29%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000030706/ENSMUSG00000024829/ENSMUSG00000024414/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000018858/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000020372/ENSMUSG00000029918/ENSMUSG00000003970/ENSMUSG00000032563/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000034729/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000098274/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_RIBOSOME	198	-0.437328309461842	-2.09518877437658	4.23981772789339e-09	8.550299084585e-07	7.334140841584e-07	1797	tags=29%, list=11%, signal=26%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000030706/ENSMUSG00000024829/ENSMUSG00000024414/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000018858/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000020372/ENSMUSG00000109865/ENSMUSG00000029918/ENSMUSG00000003970/ENSMUSG00000032563/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000022548/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000034729/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000098274/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	40	-0.705690962920047	-2.548341672535	9.42417918948732e-09	1.42540710240996e-06	1.22266324747822e-06	1797	tags=68%, list=11%, signal=60%	ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000028495/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000009927/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	52	-0.617577763065998	-2.35834023170752	9.01012226290977e-08	9.30281635438454e-06	7.97962324960692e-06	1243	tags=42%, list=8%, signal=39%	ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000029614/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000062006/ENSMUSG00000098274/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000060036/ENSMUSG00000008682
GOCC_SMALL_RIBOSOMAL_SUBUNIT	66	-0.57688431935042	-2.30264357365811	9.22593357459623e-08	9.30281635438454e-06	7.97962324960692e-06	1797	tags=42%, list=11%, signal=38%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000020372/ENSMUSG00000029918/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000034729/ENSMUSG00000009927/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952
GOCC_BLOOD_MICROPARTICLE	60	0.534372819278229	2.09388720536334	1.18845265926174e-05	0.00102716265550479	0.000881063400024116	4158	tags=52%, list=27%, signal=38%	ENSMUSG00000022797/ENSMUSG00000021091/ENSMUSG00000073418/ENSMUSG00000036905/ENSMUSG00000036896/ENSMUSG00000033880/ENSMUSG00000015656/ENSMUSG00000024164/ENSMUSG00000020708/ENSMUSG00000031980/ENSMUSG00000002985/ENSMUSG00000029034/ENSMUSG00000022912/ENSMUSG00000015083/ENSMUSG00000028249/ENSMUSG00000022037/ENSMUSG00000034664/ENSMUSG00000046834/ENSMUSG00000040433/ENSMUSG00000029580/ENSMUSG00000006574/ENSMUSG00000018293/ENSMUSG00000073940/ENSMUSG00000026193/ENSMUSG00000091971/ENSMUSG00000069919/ENSMUSG00000002289/ENSMUSG00000076617/ENSMUSG00000026715/ENSMUSG00000037493/ENSMUSG00000069917
GOCC_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	372	0.305396808168539	1.57146152387322	6.5546215787713e-05	0.0049569325689458	0.00425187952412402	2924	tags=28%, list=19%, signal=23%	ENSMUSG00000073411/ENSMUSG00000060802/ENSMUSG00000037771/ENSMUSG00000067212/ENSMUSG00000038180/ENSMUSG00000036622/ENSMUSG00000053768/ENSMUSG00000030530/ENSMUSG00000029570/ENSMUSG00000089704/ENSMUSG00000036356/ENSMUSG00000035206/ENSMUSG00000017721/ENSMUSG00000024610/ENSMUSG00000060550/ENSMUSG00000041958/ENSMUSG00000007476/ENSMUSG00000022415/ENSMUSG00000002984/ENSMUSG00000048661/ENSMUSG00000009207/ENSMUSG00000018169/ENSMUSG00000039917/ENSMUSG00000068328/ENSMUSG00000031158/ENSMUSG00000007783/ENSMUSG00000035382/ENSMUSG00000091780/ENSMUSG00000027071/ENSMUSG00000047719/ENSMUSG00000020744/ENSMUSG00000013236/ENSMUSG00000090935/ENSMUSG00000029020/ENSMUSG00000030500/ENSMUSG00000037720/ENSMUSG00000048486/ENSMUSG00000024807/ENSMUSG00000000826/ENSMUSG00000028756/ENSMUSG00000043284/ENSMUSG00000025733/ENSMUSG00000025940/ENSMUSG00000033272/ENSMUSG00000032262/ENSMUSG00000091705/ENSMUSG00000027366/ENSMUSG00000078517/ENSMUSG00000039047/ENSMUSG00000039395/ENSMUSG00000025777/ENSMUSG00000075419/ENSMUSG00000029501/ENSMUSG00000005374/ENSMUSG00000013701/ENSMUSG00000001248/ENSMUSG00000050908/ENSMUSG00000071654/ENSMUSG00000031708/ENSMUSG00000020097/ENSMUSG00000033629/ENSMUSG00000044857/ENSMUSG00000038383/ENSMUSG00000027131/ENSMUSG00000090000/ENSMUSG00000030545/ENSMUSG00000023861/ENSMUSG00000008140/ENSMUSG00000071657/ENSMUSG00000027222/ENSMUSG00000024533/ENSMUSG00000038486/ENSMUSG00000095463/ENSMUSG00000022270/ENSMUSG00000061904/ENSMUSG00000022463/ENSMUSG00000041241/ENSMUSG00000027668/ENSMUSG00000031144/ENSMUSG00000030082/ENSMUSG00000006731/ENSMUSG00000036327/ENSMUSG00000016206/ENSMUSG00000020544/ENSMUSG00000022108/ENSMUSG00000027994/ENSMUSG00000050608/ENSMUSG00000031633/ENSMUSG00000039100/ENSMUSG00000022199/ENSMUSG00000031532/ENSMUSG00000015461/ENSMUSG00000024359/ENSMUSG00000052337/ENSMUSG00000024339/ENSMUSG00000019188/ENSMUSG00000055943/ENSMUSG00000057530/ENSMUSG00000031819/ENSMUSG00000023452/ENSMUSG00000000959/ENSMUSG00000033720/ENSMUSG00000026864
GOCC_COATED_VESICLE_MEMBRANE	148	0.377923185483789	1.74958243855411	8.06522430615294e-05	0.00542162300580281	0.00465047436600397	3007	tags=30%, list=19%, signal=25%	ENSMUSG00000022797/ENSMUSG00000073411/ENSMUSG00000060802/ENSMUSG00000037771/ENSMUSG00000067212/ENSMUSG00000024610/ENSMUSG00000060550/ENSMUSG00000015656/ENSMUSG00000037727/ENSMUSG00000026924/ENSMUSG00000022376/ENSMUSG00000026787/ENSMUSG00000027429/ENSMUSG00000047547/ENSMUSG00000100241/ENSMUSG00000049659/ENSMUSG00000062444/ENSMUSG00000045730/ENSMUSG00000002985/ENSMUSG00000000826/ENSMUSG00000025094/ENSMUSG00000026452/ENSMUSG00000091705/ENSMUSG00000026553/ENSMUSG00000055681/ENSMUSG00000024873/ENSMUSG00000039367/ENSMUSG00000002957/ENSMUSG00000045613/ENSMUSG00000073131/ENSMUSG00000034940/ENSMUSG00000033184/ENSMUSG00000035325/ENSMUSG00000022463/ENSMUSG00000024941/ENSMUSG00000016206/ENSMUSG00000006169/ENSMUSG00000026455/ENSMUSG00000079111/ENSMUSG00000035152/ENSMUSG00000000915/ENSMUSG00000060992/ENSMUSG00000020476/ENSMUSG00000053310/ENSMUSG00000028779
GOCC_CELL_SUBSTRATE_JUNCTION	415	-0.292879925647462	-1.52451319040817	0.000132508056923694	0.00801673744388348	0.0068764707435138	2386	tags=22%, list=15%, signal=19%	ENSMUSG00000063358/ENSMUSG00000021365/ENSMUSG00000055723/ENSMUSG00000027287/ENSMUSG00000029552/ENSMUSG00000030782/ENSMUSG00000000149/ENSMUSG00000025809/ENSMUSG00000037815/ENSMUSG00000068699/ENSMUSG00000004936/ENSMUSG00000118671/ENSMUSG00000037003/ENSMUSG00000023830/ENSMUSG00000042284/ENSMUSG00000032254/ENSMUSG00000026566/ENSMUSG00000024603/ENSMUSG00000052698/ENSMUSG00000037563/ENSMUSG00000069833/ENSMUSG00000031351/ENSMUSG00000027122/ENSMUSG00000020689/ENSMUSG00000056851/ENSMUSG00000026563/ENSMUSG00000041729/ENSMUSG00000074570/ENSMUSG00000024236/ENSMUSG00000030890/ENSMUSG00000020695/ENSMUSG00000055044/ENSMUSG00000022285/ENSMUSG00000063065/ENSMUSG00000016493/ENSMUSG00000000392/ENSMUSG00000019907/ENSMUSG00000026069/ENSMUSG00000024608/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000012017/ENSMUSG00000032504/ENSMUSG00000041308/ENSMUSG00000045103/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000003458/ENSMUSG00000051379/ENSMUSG00000074129/ENSMUSG00000022372/ENSMUSG00000032243/ENSMUSG00000039103/ENSMUSG00000052146/ENSMUSG00000073982/ENSMUSG00000029614/ENSMUSG00000028530/ENSMUSG00000068686/ENSMUSG00000004455/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000022636/ENSMUSG00000028556/ENSMUSG00000042476/ENSMUSG00000029465/ENSMUSG00000021709/ENSMUSG00000014158/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000029267/ENSMUSG00000057113/ENSMUSG00000027002/ENSMUSG00000031626/ENSMUSG00000071415/ENSMUSG00000026383/ENSMUSG00000022091/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000001864/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000020758/ENSMUSG00000040952/ENSMUSG00000039960/ENSMUSG00000031841
