setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_CYTOSOLIC_RIBOSOME	93	-0.662807321631173	-2.82458572891106	2.40333466326515e-16	1.46122747526521e-13	1.23961472105255e-13	1390	tags=48%, list=8%, signal=45%	ENSMUSG00000032518/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000022548/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_RIBOSOMAL_SUBUNIT	169	-0.485466338149112	-2.2505130860802	1.15105782613392e-10	3.49921579144713e-08	2.96851755160854e-08	1822	tags=33%, list=11%, signal=29%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000030706/ENSMUSG00000024829/ENSMUSG00000024414/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000018858/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000020372/ENSMUSG00000029918/ENSMUSG00000003970/ENSMUSG00000032563/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000034729/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	40	-0.709500221718986	-2.59480679343531	2.28183110484639e-09	4.62451103915534e-07	3.92314821534993e-07	1822	tags=68%, list=11%, signal=60%	ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000028495/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000009927/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952
GOCC_RIBOSOME	198	-0.4412749300653	-2.1006538834598	4.01762041040028e-09	6.10678302380843e-07	5.18061579235826e-07	1822	tags=29%, list=11%, signal=26%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000030706/ENSMUSG00000024829/ENSMUSG00000024414/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000018858/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000020372/ENSMUSG00000109865/ENSMUSG00000029918/ENSMUSG00000003970/ENSMUSG00000032563/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000022548/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000034729/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	52	-0.62168590346527	-2.38113819511279	9.08082784117144e-08	9.20190554572039e-06	7.80632568802457e-06	1239	tags=42%, list=8%, signal=39%	ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000029614/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000062006/ENSMUSG00000098274/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000060036/ENSMUSG00000008682
GOCC_SMALL_RIBOSOMAL_SUBUNIT	66	-0.580738868994177	-2.32942230944795	8.63140414337747e-08	9.20190554572039e-06	7.80632568802457e-06	1822	tags=42%, list=11%, signal=38%	ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000040269/ENSMUSG00000027810/ENSMUSG00000024608/ENSMUSG00000020372/ENSMUSG00000029918/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000034729/ENSMUSG00000009927/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952
GOCC_BLOOD_MICROPARTICLE	67	0.527854670398987	2.09804187399681	8.74838201840236e-06	0.000759859466741234	0.000644617622408595	4605	tags=52%, list=28%, signal=38%	ENSMUSG00000022797/ENSMUSG00000021091/ENSMUSG00000073418/ENSMUSG00000036905/ENSMUSG00000036896/ENSMUSG00000033880/ENSMUSG00000015656/ENSMUSG00000024164/ENSMUSG00000020708/ENSMUSG00000031980/ENSMUSG00000002985/ENSMUSG00000038224/ENSMUSG00000029034/ENSMUSG00000022912/ENSMUSG00000015083/ENSMUSG00000028249/ENSMUSG00000022037/ENSMUSG00000034664/ENSMUSG00000046834/ENSMUSG00000040433/ENSMUSG00000029580/ENSMUSG00000006574/ENSMUSG00000018293/ENSMUSG00000073940/ENSMUSG00000026193/ENSMUSG00000091971/ENSMUSG00000069919/ENSMUSG00000002289/ENSMUSG00000076617/ENSMUSG00000026715/ENSMUSG00000069917/ENSMUSG00000037493/ENSMUSG00000030895/ENSMUSG00000030111/ENSMUSG00000032083
GOCC_COATED_VESICLE_MEMBRANE	150	0.387424307493525	1.7692863564034	4.18506172573536e-05	0.00282724169916344	0.00239845642761442	3075	tags=30%, list=19%, signal=25%	ENSMUSG00000022797/ENSMUSG00000073411/ENSMUSG00000060802/ENSMUSG00000037771/ENSMUSG00000067212/ENSMUSG00000024610/ENSMUSG00000060550/ENSMUSG00000015656/ENSMUSG00000037727/ENSMUSG00000026924/ENSMUSG00000022376/ENSMUSG00000026787/ENSMUSG00000027429/ENSMUSG00000047547/ENSMUSG00000049659/ENSMUSG00000100241/ENSMUSG00000062444/ENSMUSG00000045730/ENSMUSG00000002985/ENSMUSG00000000826/ENSMUSG00000025094/ENSMUSG00000026452/ENSMUSG00000091705/ENSMUSG00000026553/ENSMUSG00000055681/ENSMUSG00000024873/ENSMUSG00000039367/ENSMUSG00000002957/ENSMUSG00000045613/ENSMUSG00000073131/ENSMUSG00000034940/ENSMUSG00000033184/ENSMUSG00000035325/ENSMUSG00000022463/ENSMUSG00000024941/ENSMUSG00000006169/ENSMUSG00000016206/ENSMUSG00000026455/ENSMUSG00000079111/ENSMUSG00000035152/ENSMUSG00000000915/ENSMUSG00000060992/ENSMUSG00000020476/ENSMUSG00000053310/ENSMUSG00000028779
GOCC_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	376	0.306585706058536	1.56295880303057	3.79970809756431e-05	0.00282724169916344	0.00239845642761442	2990	tags=27%, list=18%, signal=23%	ENSMUSG00000073411/ENSMUSG00000060802/ENSMUSG00000037771/ENSMUSG00000067212/ENSMUSG00000038180/ENSMUSG00000036622/ENSMUSG00000053768/ENSMUSG00000030530/ENSMUSG00000029570/ENSMUSG00000089704/ENSMUSG00000036356/ENSMUSG00000035206/ENSMUSG00000017721/ENSMUSG00000024610/ENSMUSG00000060550/ENSMUSG00000041958/ENSMUSG00000007476/ENSMUSG00000022415/ENSMUSG00000002984/ENSMUSG00000048661/ENSMUSG00000009207/ENSMUSG00000018169/ENSMUSG00000039917/ENSMUSG00000068328/ENSMUSG00000031158/ENSMUSG00000007783/ENSMUSG00000035382/ENSMUSG00000091780/ENSMUSG00000027071/ENSMUSG00000047719/ENSMUSG00000020744/ENSMUSG00000013236/ENSMUSG00000090935/ENSMUSG00000029020/ENSMUSG00000030500/ENSMUSG00000037720/ENSMUSG00000048486/ENSMUSG00000024807/ENSMUSG00000000826/ENSMUSG00000028756/ENSMUSG00000043284/ENSMUSG00000025733/ENSMUSG00000025940/ENSMUSG00000033272/ENSMUSG00000032262/ENSMUSG00000091705/ENSMUSG00000027366/ENSMUSG00000078517/ENSMUSG00000039047/ENSMUSG00000039395/ENSMUSG00000025777/ENSMUSG00000075419/ENSMUSG00000029501/ENSMUSG00000005374/ENSMUSG00000013701/ENSMUSG00000001248/ENSMUSG00000050908/ENSMUSG00000071654/ENSMUSG00000031708/ENSMUSG00000020097/ENSMUSG00000033629/ENSMUSG00000044857/ENSMUSG00000038383/ENSMUSG00000027131/ENSMUSG00000090000/ENSMUSG00000030545/ENSMUSG00000023861/ENSMUSG00000008140/ENSMUSG00000071657/ENSMUSG00000027222/ENSMUSG00000024533/ENSMUSG00000038486/ENSMUSG00000095463/ENSMUSG00000022270/ENSMUSG00000061904/ENSMUSG00000022463/ENSMUSG00000041241/ENSMUSG00000027668/ENSMUSG00000031144/ENSMUSG00000030082/ENSMUSG00000006731/ENSMUSG00000036327/ENSMUSG00000016206/ENSMUSG00000022108/ENSMUSG00000020544/ENSMUSG00000027994/ENSMUSG00000050608/ENSMUSG00000031633/ENSMUSG00000039100/ENSMUSG00000022199/ENSMUSG00000031532/ENSMUSG00000015461/ENSMUSG00000024359/ENSMUSG00000052337/ENSMUSG00000024339/ENSMUSG00000019188/ENSMUSG00000055943/ENSMUSG00000057530/ENSMUSG00000031819/ENSMUSG00000023452/ENSMUSG00000000959/ENSMUSG00000033720/ENSMUSG00000026864
GOCC_CELL_SUBSTRATE_JUNCTION	417	-0.29522831132428	-1.53268998578827	6.80104158839288e-05	0.00413503328574287	0.00350790566138159	2383	tags=22%, list=15%, signal=19%	ENSMUSG00000021365/ENSMUSG00000030782/ENSMUSG00000029552/ENSMUSG00000055723/ENSMUSG00000027287/ENSMUSG00000037815/ENSMUSG00000025809/ENSMUSG00000000149/ENSMUSG00000068699/ENSMUSG00000037003/ENSMUSG00000118671/ENSMUSG00000004936/ENSMUSG00000023830/ENSMUSG00000042284/ENSMUSG00000032254/ENSMUSG00000001349/ENSMUSG00000024603/ENSMUSG00000026566/ENSMUSG00000052698/ENSMUSG00000037563/ENSMUSG00000069833/ENSMUSG00000056851/ENSMUSG00000020689/ENSMUSG00000027122/ENSMUSG00000041729/ENSMUSG00000026563/ENSMUSG00000030890/ENSMUSG00000024236/ENSMUSG00000074570/ENSMUSG00000020695/ENSMUSG00000055044/ENSMUSG00000063065/ENSMUSG00000022285/ENSMUSG00000016493/ENSMUSG00000000392/ENSMUSG00000019907/ENSMUSG00000026069/ENSMUSG00000024608/ENSMUSG00000073702/ENSMUSG00000032925/ENSMUSG00000028936/ENSMUSG00000012017/ENSMUSG00000032504/ENSMUSG00000041308/ENSMUSG00000045103/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000003458/ENSMUSG00000074129/ENSMUSG00000051379/ENSMUSG00000022372/ENSMUSG00000032243/ENSMUSG00000039103/ENSMUSG00000052146/ENSMUSG00000073982/ENSMUSG00000029614/ENSMUSG00000028530/ENSMUSG00000068686/ENSMUSG00000004455/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000022636/ENSMUSG00000028556/ENSMUSG00000042476/ENSMUSG00000029465/ENSMUSG00000021709/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000029267/ENSMUSG00000057113/ENSMUSG00000027002/ENSMUSG00000031626/ENSMUSG00000071415/ENSMUSG00000026383/ENSMUSG00000022091/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000001864/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000020758/ENSMUSG00000040952/ENSMUSG00000039960/ENSMUSG00000031841
