setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	19	0.730994723645237	2.21747022040805	3.85068560505411e-05	0.0140383950922703	0.0127976548262376	1650	tags=42%, list=11%, signal=38%	ENSMUSG00000073418/ENSMUSG00000036905/ENSMUSG00000036896/ENSMUSG00000036887/ENSMUSG00000029304/ENSMUSG00000024164/ENSMUSG00000028979/ENSMUSG00000021948
HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND	35	-0.63523933957187	-2.17132138723677	4.60222511945858e-06	0.0140383950922703	0.0127976548262376	1835	tags=46%, list=12%, signal=40%	ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000073702/ENSMUSG00000031665/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000021022/ENSMUSG00000052146/ENSMUSG00000060798/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000030849/ENSMUSG00000090733/ENSMUSG00000052798/ENSMUSG00000040952
HP_ABNORMAL_SERUM_INTERFERON_LEVEL	18	0.72031246974678	2.1586806100767	6.36580367301911e-05	0.0140383950922703	0.0127976548262376	2030	tags=56%, list=13%, signal=48%	ENSMUSG00000024925/ENSMUSG00000027951/ENSMUSG00000026104/ENSMUSG00000006678/ENSMUSG00000049985/ENSMUSG00000026896/ENSMUSG00000070034/ENSMUSG00000024539/ENSMUSG00000024338/ENSMUSG00000057948
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL	29	-0.646751436699253	-2.13893760825916	1.58174367780158e-05	0.0140383950922703	0.0127976548262376	1835	tags=41%, list=12%, signal=37%	ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000031381/ENSMUSG00000073702/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_PERSISTENCE_OF_HEMOGLOBIN_F	26	-0.666512793558686	-2.13588812520791	2.08756118282867e-05	0.0140383950922703	0.0127976548262376	1835	tags=50%, list=12%, signal=44%	ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000025337/ENSMUSG00000073702/ENSMUSG00000054387/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_OSTEOSARCOMA	31	-0.637318623158729	-2.13176935426941	2.16437467767533e-05	0.0140383950922703	0.0127976548262376	2044	tags=45%, list=13%, signal=39%	ENSMUSG00000029521/ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000014355/ENSMUSG00000073702/ENSMUSG00000061787/ENSMUSG00000031583/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_PURE_RED_CELL_APLASIA	23	-0.675399522275244	-2.10764341355006	4.77996793085083e-05	0.0140383950922703	0.0127976548262376	1937	tags=52%, list=12%, signal=46%	ENSMUSG00000068417/ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000073702/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_RETICULOCYTOPENIA	30	-0.630324930114215	-2.09261291241287	8.27888917588023e-05	0.0140383950922703	0.0127976548262376	1835	tags=43%, list=12%, signal=38%	ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000025337/ENSMUSG00000073702/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000062627/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_ABNORMAL_HEMOGLOBIN	42	-0.578039007486412	-2.07715834462959	2.74604179373194e-05	0.0140383950922703	0.0127976548262376	1939	tags=40%, list=12%, signal=36%	ENSMUSG00000040760/ENSMUSG00000025264/ENSMUSG00000006235/ENSMUSG00000008683/ENSMUSG00000025337/ENSMUSG00000024646/ENSMUSG00000073702/ENSMUSG00000054387/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000031229/ENSMUSG00000090733/ENSMUSG00000040952
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME	35	-0.603812188383695	-2.06389975689379	2.93794978418917e-05	0.0140383950922703	0.0127976548262376	1957	tags=43%, list=13%, signal=38%	ENSMUSG00000032254/ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000025337/ENSMUSG00000073702/ENSMUSG00000026198/ENSMUSG00000054387/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000040952
HP_ABNORMAL_ERYTHROCYTE_SEDIMENTATION_RATE	37	0.582676438421691	2.04361100987964	6.01562193855047e-05	0.0140383950922703	0.0127976548262376	1650	tags=35%, list=11%, signal=31%	ENSMUSG00000073411/ENSMUSG00000029304/ENSMUSG00000033307/ENSMUSG00000060550/ENSMUSG00000096727/ENSMUSG00000032508/ENSMUSG00000029622/ENSMUSG00000049985/ENSMUSG00000020334/ENSMUSG00000024539/ENSMUSG00000026553/ENSMUSG00000024338/ENSMUSG00000021948
HP_DUPLICATION_OF_THUMB_PHALANX	49	-0.534797850340271	-2.00295464140753	8.28468285173815e-05	0.0140383950922703	0.0127976548262376	1905	tags=37%, list=12%, signal=32%	ENSMUSG00000021318/ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000026429/ENSMUSG00000073702/ENSMUSG00000031665/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000021022/ENSMUSG00000052146/ENSMUSG00000060798/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000030849/ENSMUSG00000090733/ENSMUSG00000052798/ENSMUSG00000040952
HP_UNUSUAL_FUNGAL_INFECTION	50	0.535138654544362	1.9954188391845	7.83806134807141e-05	0.0140383950922703	0.0127976548262376	2633	tags=36%, list=17%, signal=30%	ENSMUSG00000022797/ENSMUSG00000015340/ENSMUSG00000079293/ENSMUSG00000018209/ENSMUSG00000006519/ENSMUSG00000026104/ENSMUSG00000052085/ENSMUSG00000027363/ENSMUSG00000070034/ENSMUSG00000012819/ENSMUSG00000030745/ENSMUSG00000039936/ENSMUSG00000026648/ENSMUSG00000026117/ENSMUSG00000031805/ENSMUSG00000046834/ENSMUSG00000058183/ENSMUSG00000025225
HP_MACROCYTIC_ANEMIA	57	-0.508806220737978	-1.98367619365913	6.60643676911732e-05	0.0140383950922703	0.0127976548262376	1835	tags=30%, list=12%, signal=26%	ENSMUSG00000025264/ENSMUSG00000008683/ENSMUSG00000063698/ENSMUSG00000025337/ENSMUSG00000024608/ENSMUSG00000073702/ENSMUSG00000024493/ENSMUSG00000061787/ENSMUSG00000073725/ENSMUSG00000060636/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000060938/ENSMUSG00000025290/ENSMUSG00000090733/ENSMUSG00000028691/ENSMUSG00000040952
