setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_RIBOSOME	84	-0.761258522117633	-2.9741996396146	1.39847395815044e-21	2.49720833127064e-18	2.06139968357544e-18	3370	tags=64%, list=14%, signal=56%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_SELENOAMINO_ACID_METABOLISM	114	-0.709207479911714	-2.89655384783997	1.33588463441465e-21	2.49720833127064e-18	2.06139968357544e-18	3370	tags=54%, list=14%, signal=47%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000024039/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000028029/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000024899/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000024493/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000026986/ENSMUSG00000043716/ENSMUSG00000003477/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000032604/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	117	-0.705287881799038	-2.89086044262022	1.13520623952954e-21	2.49720833127064e-18	2.06139968357544e-18	3370	tags=53%, list=14%, signal=46%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000028156/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000016554/ENSMUSG00000032518/ENSMUSG00000021282/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000031029/ENSMUSG00000022336/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000058655/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000027170/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	90	-0.747797830100621	-2.93794488121581	2.52500143041067e-21	3.38160816567749e-18	2.79145552872506e-18	3370	tags=63%, list=14%, signal=55%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000037742/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000025967/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	86	-0.759104653257008	-2.97951578716922	5.99351925429982e-21	6.42145652905683e-18	5.30079460785548e-18	3370	tags=64%, list=14%, signal=55%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	112	-0.699857437636868	-2.84048333249486	5.46558087438928e-20	4.87985279068389e-17	4.02822899180866e-17	3370	tags=53%, list=14%, signal=46%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000001415/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000020349/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000030188/ENSMUSG00000000740/ENSMUSG00000021962/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	69	-0.767933727655331	-2.90659893064333	4.4145318102011e-18	3.37837812960675e-15	2.78878919318117e-15	3143	tags=68%, list=13%, signal=60%	ENSMUSG00000057841/ENSMUSG00000038274/ENSMUSG00000030779/ENSMUSG00000090137/ENSMUSG00000028495/ENSMUSG00000094626/ENSMUSG00000030122/ENSMUSG00000000740/ENSMUSG00000037563/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000020372/ENSMUSG00000031029/ENSMUSG00000003970/ENSMUSG00000024248/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000037742/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000043716/ENSMUSG00000060126/ENSMUSG00000025967/ENSMUSG00000009927/ENSMUSG00000058655/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000041560/ENSMUSG00000002395/ENSMUSG00000071415/ENSMUSG00000032604/ENSMUSG00000027170/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	109	-0.679457147427292	-2.75096851439406	1.31651114846749e-17	8.81568777792541e-15	7.27718859830515e-15	3370	tags=55%, list=14%, signal=48%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000054408/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000021917/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000025724/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000024516/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000027828/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	98	-0.685145564182996	-2.73636061944193	3.84090727539262e-16	2.28619336380869e-13	1.88721069753502e-13	3370	tags=56%, list=14%, signal=49%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
MARKEY_RB1_ACUTE_LOF_DN	236	0.526548665076116	2.34799000993385	9.67803864220852e-16	5.1845253006311e-13	4.27973056167558e-13	1744	tags=27%, list=7%, signal=25%	ENSMUSG00000046805/ENSMUSG00000030579/ENSMUSG00000028268/ENSMUSG00000073411/ENSMUSG00000030789/ENSMUSG00000000682/ENSMUSG00000034855/ENSMUSG00000074896/ENSMUSG00000036905/ENSMUSG00000036896/ENSMUSG00000018930/ENSMUSG00000034459/ENSMUSG00000033880/ENSMUSG00000067212/ENSMUSG00000034708/ENSMUSG00000079017/ENSMUSG00000035042/ENSMUSG00000024953/ENSMUSG00000021939/ENSMUSG00000026395/ENSMUSG00000000982/ENSMUSG00000035692/ENSMUSG00000025498/ENSMUSG00000027951/ENSMUSG00000060550/ENSMUSG00000069516/ENSMUSG00000026656/ENSMUSG00000026104/ENSMUSG00000000290/ENSMUSG00000046879/ENSMUSG00000031897/ENSMUSG00000050370/ENSMUSG00000002325/ENSMUSG00000021508/ENSMUSG00000050565/ENSMUSG00000041936/ENSMUSG00000096727/ENSMUSG00000010358/ENSMUSG00000025408/ENSMUSG00000006273/ENSMUSG00000032359/ENSMUSG00000026896/ENSMUSG00000102037/ENSMUSG00000035352/ENSMUSG00000021998/ENSMUSG00000000826/ENSMUSG00000034041/ENSMUSG00000030862/ENSMUSG00000028459/ENSMUSG00000039236/ENSMUSG00000058818/ENSMUSG00000027078/ENSMUSG00000031765/ENSMUSG00000026586/ENSMUSG00000040613/ENSMUSG00000024338/ENSMUSG00000030107/ENSMUSG00000026222/ENSMUSG00000057143/ENSMUSG00000069874/ENSMUSG00000017390/ENSMUSG00000020097/ENSMUSG00000025473
