	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	117	-0.705287882	-2.837985681	5.20E-22	3.60E-19	2.95E-19	3370	tags=53%, list=14%, signal=46%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000028156/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000016554/ENSMUSG00000032518/ENSMUSG00000021282/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000031029/ENSMUSG00000022336/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000058655/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000027170/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_SELENOAMINO_ACID_METABOLISM	114	-0.70920748	-2.83532712	5.78E-22	3.60E-19	2.95E-19	3370	tags=54%, list=14%, signal=47%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000024039/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000028029/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000024899/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000024493/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000026986/ENSMUSG00000043716/ENSMUSG00000003477/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000032604/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	90	-0.74779783	-2.872714027	1.43E-21	5.94E-19	4.87E-19	3370	tags=63%, list=14%, signal=55%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000037742/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000025967/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	112	-0.699857438	-2.779923131	6.84E-20	2.13E-17	1.75E-17	3370	tags=53%, list=14%, signal=46%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000001415/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000020349/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000030188/ENSMUSG00000000740/ENSMUSG00000021962/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	109	-0.679457147	-2.695521798	1.49E-17	3.71E-15	3.05E-15	3370	tags=55%, list=14%, signal=48%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000054408/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000021917/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000025724/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000024516/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000027828/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	98	-0.685145564	-2.678030756	1.13E-16	2.34E-14	1.92E-14	3370	tags=56%, list=14%, signal=49%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_RRNA_PROCESSING	197	-0.539272398	-2.328806147	2.12E-14	3.77E-12	3.09E-12	3931	tags=40%, list=16%, signal=34%	ENSMUSG00000005204/ENSMUSG00000036983/ENSMUSG00000026020/ENSMUSG00000012848/ENSMUSG00000017264/ENSMUSG00000027714/ENSMUSG00000031843/ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000024785/ENSMUSG00000015126/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000030942/ENSMUSG00000090137/ENSMUSG00000025995/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000032834/ENSMUSG00000028495/ENSMUSG00000000740/ENSMUSG00000020075/ENSMUSG00000005378/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000000581/ENSMUSG00000032518/ENSMUSG00000031917/ENSMUSG00000004356/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000038299/ENSMUSG00000027433/ENSMUSG00000028936/ENSMUSG00000063480/ENSMUSG00000003970/ENSMUSG00000021428/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000027185/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000026234/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	59	-0.736210299	-2.637910133	9.83E-13	1.53E-10	1.25E-10	2717	tags=53%, list=11%, signal=47%	ENSMUSG00000028156/ENSMUSG00000061983/ENSMUSG00000028495/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000016554/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000031029/ENSMUSG00000022336/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000052146/ENSMUSG00000028234/ENSMUSG00000009927/ENSMUSG00000058655/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000027170/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000030744/ENSMUSG00000040952
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	152	-0.548722453	-2.285221153	4.76E-12	6.59E-10	5.40E-10	3370	tags=41%, list=14%, signal=35%	ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000053684/ENSMUSG00000090137/ENSMUSG00000079614/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000024142/ENSMUSG00000019210/ENSMUSG00000028278/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000035992/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000006021/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_INFLUENZA_INFECTION	150	-0.54593446	-2.273729479	2.64E-11	3.28E-09	2.69E-09	3436	tags=42%, list=14%, signal=36%	ENSMUSG00000026496/ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000035351/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000034826/ENSMUSG00000045996/ENSMUSG00000001440/ENSMUSG00000090137/ENSMUSG00000079614/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000021018/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000003970/ENSMUSG00000061787/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000052798/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	167	-0.521513013	-2.215260583	6.20E-11	7.02E-09	5.76E-09	3686	tags=39%, list=15%, signal=33%	ENSMUSG00000012848/ENSMUSG00000021737/ENSMUSG00000042541/ENSMUSG00000079197/ENSMUSG00000079435/ENSMUSG00000067274/ENSMUSG00000057841/ENSMUSG00000046330/ENSMUSG00000038274/ENSMUSG00000090137/ENSMUSG00000061983/ENSMUSG00000041841/ENSMUSG00000028495/ENSMUSG00000030188/ENSMUSG00000068749/ENSMUSG00000000740/ENSMUSG00000008683/ENSMUSG00000037563/ENSMUSG00000032518/ENSMUSG00000025487/ENSMUSG00000024608/ENSMUSG00000030432/ENSMUSG00000073702/ENSMUSG00000028936/ENSMUSG00000015671/ENSMUSG00000003970/ENSMUSG00000031274/ENSMUSG00000061787/ENSMUSG00000026914/ENSMUSG00000049517/ENSMUSG00000074129/ENSMUSG00000045128/ENSMUSG00000060636/ENSMUSG00000079641/ENSMUSG00000052146/ENSMUSG00000029614/ENSMUSG00000028234/ENSMUSG00000062328/ENSMUSG00000041453/ENSMUSG00000060938/ENSMUSG00000047215/ENSMUSG00000043716/ENSMUSG00000009927/ENSMUSG00000062006/ENSMUSG00000090862/ENSMUSG00000047675/ENSMUSG00000006333/ENSMUSG00000098274/ENSMUSG00000025290/ENSMUSG00000039001/ENSMUSG00000008668/ENSMUSG00000044533/ENSMUSG00000071415/ENSMUSG00000058546/ENSMUSG00000090733/ENSMUSG00000063457/ENSMUSG00000058600/ENSMUSG00000032399/ENSMUSG00000031320/ENSMUSG00000028081/ENSMUSG00000020460/ENSMUSG00000060036/ENSMUSG00000030744/ENSMUSG00000040952/ENSMUSG00000008682
