# TOTAL_GENES = 55849
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACIDIC_AMINO_ACID_TRANS...         SET      62      0.16611    0.0055316      0.10418     0.055417 GOBP_ACIDIC_AMINO_ACID_TRANSPORT
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     313     0.089827    0.0067059     0.049273     0.034151 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     529    -0.016375   -0.0015861     0.039226      0.66182 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     297      0.02061     0.001499     0.049423      0.33834 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ADAPTIVE_THERMOGENESIS             SET     156      0.06204    0.0032743     0.068082      0.18109 GOBP_ADAPTIVE_THERMOGENESIS
GOBP_AEROBIC_RESPIRATION                SET     165     0.061467    0.0033361     0.066166      0.17645 GOBP_AEROBIC_RESPIRATION
GOBP_AMINE_TRANSPORT                    SET      97    0.0024576   0.00010233     0.084821      0.48844 GOBP_AMINE_TRANSPORT
GOBP_AMMONIUM_ION_METABOLIC_...         SET      22     -0.16135   -0.0032018      0.17316      0.82428 GOBP_AMMONIUM_ION_METABOLIC_PROCESS
GOBP_ANATOMICAL_STRUCTURE_MA...         SET     236   -0.0012159  -7.8874e-05     0.054437      0.50891 GOBP_ANATOMICAL_STRUCTURE_MATURATION
GOBP_ANTIGEN_PROCESSING_AND_...1        SET     100   -0.0043918  -0.00018567     0.087134       0.5201 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION
GOBP_ANTIGEN_PROCESSING_AND_...2        SET      25     0.063121    0.0013352      0.16175      0.34818 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...3        SET      43     -0.09682   -0.0026855      0.13968      0.75589 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...4        SET      34     -0.24965   -0.0061581      0.15229      0.94942 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...5        SET      26     -0.33492   -0.0072248      0.17598      0.97149 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...6        SET      59    -0.043105   -0.0014003      0.11527      0.64578 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN
