# TOTAL_GENES = 58335
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACIDIC_AMINO_ACID_TRANS...         SET      62      0.17007    0.0055415      0.10216     0.047986 GOBP_ACIDIC_AMINO_ACID_TRANSPORT
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     357     0.004066   0.00031711     0.045641      0.46451 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     669    -0.015667   -0.0016681     0.034585      0.67472 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     341     0.026551    0.0020241     0.045554         0.28 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ADAPTIVE_THERMOGENESIS             SET     156    -0.035448   -0.0018307     0.065433        0.706 GOBP_ADAPTIVE_THERMOGENESIS
GOBP_AEROBIC_RESPIRATION                SET     167    -0.015863  -0.00084753     0.063581      0.59851 GOBP_AEROBIC_RESPIRATION
GOBP_AMINE_TRANSPORT                    SET      98     0.054285    0.0022231     0.080885      0.25107 GOBP_AMINE_TRANSPORT
GOBP_AMMONIUM_ION_METABOLIC_...         SET      22      0.30028    0.0058303      0.17457     0.042711 GOBP_AMMONIUM_ION_METABOLIC_PROCESS
GOBP_ANATOMICAL_STRUCTURE_MA...         SET     236     0.075026    0.0047624     0.051875     0.074053 GOBP_ANATOMICAL_STRUCTURE_MATURATION
GOBP_ANTIGEN_PROCESSING_AND_...1        SET     102     0.043825     0.001831     0.084574      0.30217 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION
GOBP_ANTIGEN_PROCESSING_AND_...2        SET      26      0.16686     0.003522       0.1673       0.1593 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...3        SET      45     0.048612    0.0013496      0.13172      0.35605 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...4        SET      36      0.04656    0.0011563      0.14442      0.37358 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...5        SET      28      0.22711    0.0049746      0.17107     0.092153 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...6        SET      61     0.083011    0.0026829      0.10991      0.22504 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...7        SET      29     0.018517   0.00041276      0.15173      0.45143 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
GOBP_ANTIGEN_PROCESSING_AND_...8        SET      34      0.20076    0.0048455      0.15461      0.09706 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...9        SET      14      0.33319    0.0051612      0.23718     0.080039 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB
GOBP_APOPTOTIC_CELL_CLEARANCE           SET      52     0.032744   0.00097718      0.11166      0.38467 GOBP_APOPTOTIC_CELL_CLEARANCE
GOBP_ATP_BIOSYNTHETIC_PROCESS           SET      52     -0.23452   -0.0069988      0.11728      0.97722 GOBP_ATP_BIOSYNTHETIC_PROCESS
GOBP_ATP_METABOLIC_PROCESS              SET     251   -0.0026581  -0.00017398     0.052031      0.52037 GOBP_ATP_METABOLIC_PROCESS
GOBP_AXONAL_TRANSPORT                   SET      62      0.11456    0.0037328      0.10258      0.13204 GOBP_AXONAL_TRANSPORT
GOBP_AXONEME_ASSEMBLY                   SET      84    -0.037234   -0.0014119     0.084115      0.67099 GOBP_AXONEME_ASSEMBLY
GOBP_AXON_DEVELOPMENT                   SET     452     0.066104    0.0057963     0.038865     0.044488 GOBP_AXON_DEVELOPMENT
GOBP_AXO_DENDRITIC_TRANSPORT            SET      74      0.20109    0.0071577     0.093442     0.015699 GOBP_AXO_DENDRITIC_TRANSPORT
GOBP_BILE_ACID_METABOLIC_PRO...         SET      48     0.050046     0.001435      0.11675      0.33409 GOBP_BILE_ACID_METABOLIC_PROCESS
GOBP_BONE_RESORPTION                    SET      63     0.094514    0.0031044      0.10742      0.18947 GOBP_BONE_RESORPTION
GOBP_B_CELL_ACTIVATION                  SET     309    -0.057063   -0.0041421     0.047243      0.88645 GOBP_B_CELL_ACTIVATION
GOBP_B_CELL_DIFFERENTIATION             SET     136    -0.099414   -0.0047946     0.067766      0.92881 GOBP_B_CELL_DIFFERENTIATION
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     194     0.066917    0.0038526     0.061901      0.13984 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_B_CELL_PROLIFERATION               SET      97    -0.090515   -0.0036879     0.082558      0.86354 GOBP_B_CELL_PROLIFERATION
GOBP_CARBOHYDRATE_CATABOLIC_...         SET     147   -0.0068016    -0.000341     0.066351      0.54082 GOBP_CARBOHYDRATE_CATABOLIC_PROCESS
GOBP_CATECHOLAMINE_SECRETION            SET      57     0.034092    0.0010652      0.10839      0.37656 GOBP_CATECHOLAMINE_SECRETION
GOBP_CELLULAR_COMPONENT_DISA...         SET     449    -0.075957   -0.0066383     0.037881      0.97752 GOBP_CELLULAR_COMPONENT_DISASSEMBLY
GOBP_CELLULAR_RESPIRATION               SET     210   -0.0037178  -0.00022266     0.056437      0.52626 GOBP_CELLULAR_RESPIRATION
GOBP_CELLULAR_RESPONSE_TO_IN...1        SET      23     0.073835    0.0014658      0.16683      0.32904 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA
GOBP_CELLULAR_RESPONSE_TO_IN...2        SET     114    -0.079413   -0.0035072     0.077434      0.84745 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA
GOBP_CELLULAR_RESPONSE_TO_VI...         SET      81   -0.0030995  -0.00011542     0.088398      0.51399 GOBP_CELLULAR_RESPONSE_TO_VIRUS
GOBP_CELL_ACTIVATION_INVOLVE...         SET     280    -0.075337   -0.0052069     0.048239      0.94082 GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CELL_KILLING                       SET     184    -0.059012    -0.003309     0.061507      0.83133 GOBP_CELL_KILLING
GOBP_CENTRAL_NERVOUS_SYSTEM_...         SET     163    -0.031646   -0.0016705     0.063845      0.68994 GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION
GOBP_CHAPERONE_MEDIATED_PROT...         SET      72    0.0050284   0.00017655     0.094865      0.47886 GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING
GOBP_CHROMOSOME_SEGREGATION             SET     337    -0.026443    -0.002004     0.043568      0.72805 GOBP_CHROMOSOME_SEGREGATION
GOBP_CILIUM_MOVEMENT                    SET     180    -0.049283   -0.0027334     0.058649      0.79963 GOBP_CILIUM_MOVEMENT
GOBP_CILIUM_ORGANIZATION                SET     396     0.015456    0.0012691     0.040507      0.35139 GOBP_CILIUM_ORGANIZATION
GOBP_CILIUM_OR_FLAGELLUM_DEP...         SET     145    0.0034344   0.00017101     0.065108      0.47897 GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
GOBP_CYTOKINE_MEDIATED_SIGNA...         SET     465   -0.0027726  -0.00024655     0.038638       0.5286 GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GOBP_CYTOKINE_PRODUCTION_INV...         SET      98    -0.064978    -0.002661      0.07865      0.79564 GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CYTOPLASMIC_TRANSLATION            SET     138     -0.16098   -0.0078204     0.069947      0.98931 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_CYTOSKELETON_DEPENDENT_...         SET      97    -0.084508   -0.0034432     0.078394      0.85948 GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     348     0.022228    0.0017117     0.047745      0.32077 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_GRA...         SET     106    -0.094619   -0.0040297      0.08701      0.86158 GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     284    -0.045798   -0.0031878     0.048282      0.82857 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DENDRITIC_CELL_DIFFEREN...         SET      47    -0.036365   -0.0010318      0.12125      0.61788 GOBP_DENDRITIC_CELL_DIFFERENTIATION
