# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACIDIC_AMINO_ACID_TRANS...         SET      63    -0.063804   -0.0020783      0.10384      0.73055 GOBP_ACIDIC_AMINO_ACID_TRANSPORT
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     357     0.068371    0.0052884     0.048336     0.078615 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     645      0.14463        0.015     0.038399   8.2862e-05 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     338      0.20756     0.015624     0.048432   9.1283e-06 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ADAPTIVE_THERMOGENESIS             SET     159     0.080217    0.0041477     0.069499      0.12421 GOBP_ADAPTIVE_THERMOGENESIS
GOBP_AEROBIC_RESPIRATION                SET     173     0.091987    0.0049607      0.07339      0.10503 GOBP_AEROBIC_RESPIRATION
GOBP_AMINE_TRANSPORT                    SET     100    -0.043791   -0.0017966     0.083247      0.70057 GOBP_AMINE_TRANSPORT
GOBP_AMMONIUM_ION_METABOLIC_...         SET      23   -0.0059983   -0.0001181      0.18283      0.51309 GOBP_AMMONIUM_ION_METABOLIC_PROCESS
GOBP_ANATOMICAL_STRUCTURE_MA...         SET     243    -0.005906  -0.00037726     0.056818      0.54139 GOBP_ANATOMICAL_STRUCTURE_MATURATION
GOBP_ANTIGEN_PROCESSING_AND_...1        SET     103     0.066235    0.0027578     0.086931      0.22306 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION
GOBP_ANTIGEN_PROCESSING_AND_...2        SET      26      -0.2989   -0.0062568      0.18636      0.94563 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...3        SET      44    -0.026966   -0.0007342       0.1339      0.57981 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...4        SET      35    -0.070215   -0.0017051      0.14601       0.6847 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...5        SET      27      0.15506    0.0033076       0.1646      0.17309 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...6        SET      60     0.080334    0.0025538      0.11304      0.23865 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...7        SET      29    -0.019007  -0.00042018      0.16216      0.54665 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
GOBP_ANTIGEN_PROCESSING_AND_...8        SET      33      0.13537    0.0031922      0.14904      0.18187 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...9        SET      14     0.064558   0.00099172      0.24888      0.39767 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB
GOBP_APOPTOTIC_CELL_CLEARANCE           SET      52      -0.2512   -0.0074346      0.11756      0.98369 GOBP_APOPTOTIC_CELL_CLEARANCE
GOBP_ATP_BIOSYNTHETIC_PROCESS           SET      52        0.128    0.0037883      0.13333      0.16853 GOBP_ATP_BIOSYNTHETIC_PROCESS
GOBP_ATP_METABOLIC_PROCESS              SET     258     0.096037    0.0063202      0.05762     0.047788 GOBP_ATP_METABOLIC_PROCESS
GOBP_AXONAL_TRANSPORT                   SET      65      0.17451    0.0057737      0.10834     0.053618 GOBP_AXONAL_TRANSPORT
GOBP_AXONEME_ASSEMBLY                   SET      87     -0.00669  -0.00025603     0.089461      0.52981 GOBP_AXONEME_ASSEMBLY
GOBP_AXON_DEVELOPMENT                   SET     478    -0.027125   -0.0024253     0.041576      0.74294 GOBP_AXON_DEVELOPMENT
GOBP_AXO_DENDRITIC_TRANSPORT            SET      77      0.17232    0.0062047     0.098729     0.040464 GOBP_AXO_DENDRITIC_TRANSPORT
GOBP_BILE_ACID_METABOLIC_PRO...         SET      49    -0.096533   -0.0027735      0.11779      0.79375 GOBP_BILE_ACID_METABOLIC_PROCESS
GOBP_BONE_RESORPTION                    SET      63     -0.11504   -0.0037474      0.11777      0.83566 GOBP_BONE_RESORPTION
GOBP_B_CELL_ACTIVATION                  SET     309      0.10764    0.0077492     0.050909     0.017244 GOBP_B_CELL_ACTIVATION
