# TOTAL_GENES = 55849
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     313     0.089827    0.0067059     0.049273     0.034151 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     529    -0.016375   -0.0015861     0.039226      0.66182 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     297      0.02061     0.001499     0.049423      0.33834 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ANATOMICAL_STRUCTURE_HO...         SET     302    -0.029464   -0.0021608     0.048064      0.73007 GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     151    -0.056695    -0.002944     0.069706      0.79199 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_CELL_KILLING                       SET     174     0.081765    0.0045568     0.064269      0.10165 GOBP_CELL_KILLING
GOBP_COMPLEMENT_ACTIVATION              SET      73     -0.16844   -0.0060857      0.11146      0.93463 GOBP_COMPLEMENT_ACTIVATION
GOBP_CYTOPLASMIC_TRANSLATION            SET     137    -0.026191   -0.0012956     0.071922      0.64213 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     286   -0.0054765   -0.0003909     0.051843      0.54206 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     281   -0.0051869    -0.000367     0.050368      0.54101 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DETECTION_OF_BIOTIC_STI...         SET      35     0.024265   0.00060727      0.13859      0.43051 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      24     -0.13744   -0.0028485      0.16668      0.79519 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_STIMULUS              SET     624     0.084996     0.008934     0.037641     0.011973 GOBP_DETECTION_OF_STIMULUS
GOBP_HUMORAL_IMMUNE_RESPONSE            SET     248    -0.021301   -0.0014163     0.057752      0.64387 GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_HUMORAL_IMMUNE_RESPONSE...         SET      64     -0.11069   -0.0037449      0.11513      0.83183 GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN
GOBP_INTERLEUKIN_8_PRODUCTION           SET      95     -0.13221   -0.0054481     0.089494       0.9302 GOBP_INTERLEUKIN_8_PRODUCTION
GOBP_LEUKOCYTE_MEDIATED_IMMU...         SET     378     0.016661    0.0013661     0.043761       0.3517 GOBP_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_LYMPHOCYTE_MEDIATED_IMM...         SET     287   -0.0037188   -0.0002659     0.051038      0.52904 GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY
GOBP_MICROGLIAL_CELL_ACTIVAT...         SET      47     -0.11291   -0.0032743      0.11992      0.82679 GOBP_MICROGLIAL_CELL_ACTIVATION
GOBP_MONONUCLEAR_CELL_DIFFER...         SET     417    -0.040564   -0.0034921     0.040571       0.8413 GOBP_MONONUCLEAR_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...1        SET     171     0.013578   0.00075018     0.065472      0.41785 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...2        SET     408     0.049703    0.0042327     0.041939      0.11799 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_PANCREATIC_JUICE_SECRET...         SET      13     0.092744    0.0014148      0.23331       0.3455 GOBP_PANCREATIC_JUICE_SECRETION
GOBP_PHAGOCYTOSIS                       SET     247      0.01942    0.0012886     0.054809      0.36155 GOBP_PHAGOCYTOSIS
GOBP_PHAGOCYTOSIS_RECOGNITION           SET      46    -0.067772   -0.0019442      0.13787      0.68848 GOBP_PHAGOCYTOSIS_RECOGNITION
GOBP_POSITIVE_REGULATION_OF_...1        SET     110    -0.018475  -0.00081911     0.078785       0.5927 GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...2        SET      63      0.06879    0.0023091      0.11474      0.27441 GOBP_POSITIVE_REGULATION_OF_CELL_KILLING
GOBP_POSITIVE_REGULATION_OF_...3        SET     460    -0.033929   -0.0030665     0.039191      0.80668 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...4        SET     239    -0.070839   -0.0046242     0.054202      0.90438 GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_...5        SET     510     0.055094    0.0052408      0.03779     0.072435 GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...6        SET      39     0.026906   0.00071077      0.13297      0.41982 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...7        SET      61     0.037235    0.0012299      0.10732      0.36432 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...8        SET      59     -0.14647   -0.0047581      0.10795      0.91257 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...9        SET     132    -0.065896   -0.0031998     0.073558      0.81483 GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_POSITIVE_REGULATION_OF_...10       SET      36    -0.025031  -0.00063532      0.14583      0.56814 GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION
GOBP_POSITIVE_REGULATION_OF_...11       SET      69    -0.078213   -0.0027475      0.10465      0.77258 GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS
GOBP_PRODUCTION_OF_MOLECULAR...         SET     224   -0.0009176  -5.7996e-05     0.054293      0.50674 GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOBP_REGULATION_OF_ADAPTIVE_...         SET     181     0.037939    0.0021563     0.061856      0.26983 GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_REGULATION_OF_CELL_KILL...         SET     100     0.054239    0.0022931     0.087337      0.26729 GOBP_REGULATION_OF_CELL_KILLING
GOBP_REGULATION_OF_HEMOPOIES...         SET     360    -0.013969   -0.0011179      0.04342      0.62616 GOBP_REGULATION_OF_HEMOPOIESIS
GOBP_REGULATION_OF_IMMUNE_EF...         SET     339    -0.060811   -0.0047234     0.045596      0.90885 GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_REGULATION_OF_INNATE_IM...         SET     218   -0.0070309  -0.00043841     0.057812       0.5484 GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_REGULATION_OF_LEUKOCYTE...         SET     225    -0.037414     -0.00237     0.056268      0.74695 GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_REGULATION_OF_LYMPHOCYT...         SET     459     0.028496    0.0025727     0.039389       0.2347 GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION
GOBP_REGULATION_OF_RESPONSE_...         SET     333    -0.034058    -0.002622     0.045613      0.77237 GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
GOBP_RESPONSE_TO_VIRUS                  SET     378   0.00075651   6.2027e-05     0.043743       0.4931 GOBP_RESPONSE_TO_VIRUS
GOCC_BLOOD_MICROPARTICLE                SET     115    -0.078373   -0.0035527      0.07947      0.83798 GOCC_BLOOD_MICROPARTICLE
GOCC_CYTOSOLIC_LARGE_RIBOSOM...         SET      55    -0.069433   -0.0021778      0.11779      0.72222 GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT
GOCC_CYTOSOLIC_RIBOSOME                 SET      96    -0.083884   -0.0034749     0.091384      0.82067 GOCC_CYTOSOLIC_RIBOSOME
