# TOTAL_GENES = 58335
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     357     0.004066   0.00031711     0.045641      0.46451 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     669    -0.015667   -0.0016681     0.034585      0.67472 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     341     0.026551    0.0020241     0.045554         0.28 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ANATOMICAL_STRUCTURE_HO...         SET     309    -0.029553   -0.0021452     0.045451      0.74222 GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     194     0.066917    0.0038526     0.061901      0.13984 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_CELL_KILLING                       SET     184    -0.059012    -0.003309     0.061507      0.83133 GOBP_CELL_KILLING
GOBP_COMPLEMENT_ACTIVATION              SET     113     0.031465    0.0013835     0.085227      0.35599 GOBP_COMPLEMENT_ACTIVATION
GOBP_CYTOPLASMIC_TRANSLATION            SET     138     -0.16098   -0.0078204     0.069947      0.98931 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     348     0.022228    0.0017117     0.047745      0.32077 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     284    -0.045798   -0.0031878     0.048282      0.82857 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DETECTION_OF_BIOTIC_STI...         SET      36     -0.26958    -0.006695      0.13612      0.97617 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      25     -0.20226   -0.0041862      0.16082      0.89574 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_STIMULUS              SET     652      0.12445     0.013083     0.036208   0.00029437 GOBP_DETECTION_OF_STIMULUS
GOBP_HUMORAL_IMMUNE_RESPONSE            SET     295     0.071181    0.0050491     0.050838     0.080737 GOBP_HUMORAL_IMMUNE_RESPONSE
