# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     357     0.068371    0.0052884     0.048336     0.078615 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     645      0.14463        0.015     0.038399   8.2862e-05 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     338      0.20756     0.015624     0.048432   9.1283e-06 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ANATOMICAL_STRUCTURE_HO...         SET     313      0.02709    0.0019627     0.049435      0.29185 GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     188      0.11575    0.0065066     0.065738     0.039137 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_CELL_KILLING                       SET     180      0.16477    0.0090632     0.065392    0.0058739 GOBP_CELL_KILLING
GOBP_COMPLEMENT_ACTIVATION              SET     105    -0.083541   -0.0035119     0.091268      0.81999 GOBP_COMPLEMENT_ACTIVATION
GOBP_CYTOPLASMIC_TRANSLATION            SET     147     -0.12868   -0.0063981      0.08142      0.94299 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     320     0.061738    0.0045226     0.052612      0.12031 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     289     0.067331    0.0046885     0.052501     0.099845 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DETECTION_OF_BIOTIC_STI...         SET      36    -0.026606  -0.00065529      0.14276      0.57392 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      24    -0.071995   -0.0014479      0.18729      0.64966 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_STIMULUS              SET     640    0.0032536   0.00033614     0.039635      0.46729 GOBP_DETECTION_OF_STIMULUS
GOBP_HUMORAL_IMMUNE_RESPONSE            SET     286     0.034492    0.0023893     0.055544      0.26731 GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_HUMORAL_IMMUNE_RESPONSE...         SET      94    -0.017869   -0.0007108      0.10171      0.56973 GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN
GOBP_INTERLEUKIN_8_PRODUCTION           SET     103      0.16521    0.0068788     0.089437     0.032359 GOBP_INTERLEUKIN_8_PRODUCTION
GOBP_LEUKOCYTE_MEDIATED_IMMU...         SET     423      0.13942     0.011732     0.043265   0.00063581 GOBP_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_LYMPHOCYTE_MEDIATED_IMM...         SET     331      0.16513     0.012302     0.049631   0.00043892 GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY
GOBP_MICROGLIAL_CELL_ACTIVAT...         SET      47      0.31443    0.0088477       0.1247    0.0058446 GOBP_MICROGLIAL_CELL_ACTIVATION
GOBP_MONONUCLEAR_CELL_DIFFER...         SET     432      0.19969      0.01698     0.041872   9.2857e-07 GOBP_MONONUCLEAR_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...1        SET     179      0.10094    0.0055367     0.064205     0.057965 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...2        SET     423      0.13717     0.011543      0.04221   0.00057778 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_PANCREATIC_JUICE_SECRET...         SET      13    -0.037725  -0.00055844      0.23653      0.56336 GOBP_PANCREATIC_JUICE_SECRETION
GOBP_PHAGOCYTOSIS                       SET     281     0.011606   0.00079698      0.05392      0.41479 GOBP_PHAGOCYTOSIS
GOBP_PHAGOCYTOSIS_RECOGNITION           SET      76    -0.049908   -0.0017854       0.1125      0.67134 GOBP_PHAGOCYTOSIS_RECOGNITION
GOBP_POSITIVE_REGULATION_OF_...1        SET     114      0.20156    0.0088279     0.083376    0.0078175 GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...2        SET      65      0.19195     0.006351      0.11718     0.050698 GOBP_POSITIVE_REGULATION_OF_CELL_KILLING
GOBP_POSITIVE_REGULATION_OF_...3        SET     474       0.2111     0.018796     0.040539   9.6194e-08 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...4        SET     246      0.18412     0.011833     0.057196   0.00064327 GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_...5        SET     561       0.1178     0.011402     0.038313    0.0010547 GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...6        SET      41      0.48325     0.012701      0.13697    0.0002095 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...7        SET      62       0.3283     0.010609      0.12111    0.0033582 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION
