# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
GO:0000245       SET      66      0.11413    0.0038049      0.11653       0.1637
GO:0000375       SET     304     0.055669    0.0039752     0.051742      0.14099
GO:0002181       SET     147     -0.12868   -0.0063981      0.08142      0.94299
GO:0003723       SET    1929    -0.011249   -0.0019954     0.020803      0.70566
GO:0003729       SET     566     -0.01492   -0.0014505     0.039016      0.64892
GO:0003735       SET     164    -0.070507   -0.0037024     0.078803      0.81453
GO:0005681       SET     187      0.11332    0.0063528     0.066285     0.043676
GO:0005840       SET     212    -0.054423   -0.0032479     0.065249      0.79788
GO:0005844       SET      64     -0.17974   -0.0059012      0.11842      0.93547
GO:0006334       SET     116    -0.063006   -0.0027836     0.089928      0.75823
GO:0006338       SET     258    -0.012687  -0.00083492     0.056708      0.58851
GO:0006396       SET    1358   -0.0019759  -0.00029554     0.026188      0.53007
GO:0006397       SET     472      0.05606     0.004981     0.040296     0.082088
GO:0006518       SET     889  -0.00055263  -6.7148e-05     0.030906      0.50713
GO:0008380       SET     413      0.04121    0.0034268       0.0441      0.17504
GO:0010608       SET    1066    -0.020365   -0.0027056     0.028996      0.75877
GO:0010628       SET    1132      0.12056     0.016496     0.026337   2.3567e-06
GO:0015934       SET     112    -0.098774   -0.0042882     0.090076      0.86358
GO:0016071       SET     696     0.081859    0.0088153      0.03341    0.0071418
GO:0016072       SET     262     -0.10081   -0.0066854     0.055064      0.96643
GO:0016604       SET     816     0.044554    0.0051899      0.03094     0.074935
GO:0019843       SET      64    -0.071262   -0.0023396      0.12206      0.72033
GO:0022613       SET     442    -0.026983   -0.0023206     0.042262      0.73841
GO:0022625       SET      58     -0.12646   -0.0039526      0.13177       0.8314
GO:0022626       SET     100    -0.046017   -0.0018879     0.099345      0.67839
GO:0032993       SET     215   -0.0047899  -0.00028787     0.063991      0.52983
GO:0033119       SET      25      0.13971    0.0028678      0.17754      0.21565
GO:0033120       SET      36     0.043639    0.0010748      0.14791      0.38398
GO:0034248       SET     523     0.044048     0.004118     0.039464      0.13218
GO:0034250       SET     162      0.15456    0.0080664     0.069706     0.013305
GO:0034470       SET     385    -0.094918   -0.0076225     0.044495      0.98354
GO:0034660       SET     525    -0.077437   -0.0072531     0.038272      0.97848
GO:0034728       SET     167    -0.031592    -0.001674     0.074155      0.66495
GO:0036002       SET      47    -0.018143  -0.00051053      0.13718      0.55261
GO:0042254       SET     303     -0.03592   -0.0025608       0.0506      0.76111
GO:0042273       SET      72     -0.11956   -0.0041631      0.10667      0.86883
GO:0042802       SET    1959     0.018325    0.0032749     0.020275      0.18305
GO:0043021       SET     146    -0.024352   -0.0012067     0.071488      0.63331
GO:0043043       SET     723      -0.0045   -0.0004938     0.034595      0.55175
GO:0043209       SET      45       0.0458    0.0012611      0.12135      0.35293
GO:0043484       SET     149     0.042746    0.0021398     0.071664      0.27543
GO:0043603       SET    1161    0.0072949    0.0010106     0.026844      0.39291
GO:0043604       SET     853    0.0080072   0.00095332     0.031514      0.39972
GO:0043933       SET    1732      0.01928    0.0032462     0.022012      0.19055
GO:0044391       SET     176    -0.045791   -0.0024907      0.07322      0.73414
GO:0044877       SET    1262     0.065096    0.0093938      0.02499    0.0045971
GO:0045182       SET     134     -0.12994   -0.0061693      0.07531      0.95777
GO:0045202       SET    1295    0.0036991   0.00054059     0.024903      0.44096
GO:0045727       SET     136      0.13204    0.0063155     0.075781     0.040723
GO:0048024       SET     100      0.05737    0.0023537     0.088216      0.25774
GO:0048025       SET      20     0.051966   0.00095409       0.2027      0.39883
GO:0048026       SET      22      0.18449    0.0035525      0.21111      0.19108
GO:0050684       SET     135     0.059895    0.0028542     0.075666      0.21431
GO:0050685       SET      31       -0.117   -0.0026742      0.16384      0.76243
GO:0050686       SET      29     0.091461    0.0020219       0.1668      0.29174
GO:0051082       SET     122     0.096963    0.0043931     0.081338      0.11661
GO:0071541       SET       7     -0.58891   -0.0063974      0.32523      0.96491
GO:0071826       SET     202      -0.0277   -0.0016138     0.064655      0.66583
GO:0098794       SET     601    0.0098426   0.00098575     0.036363      0.39332
GO:0110016       SET       7      0.38019      0.00413       0.3175      0.11557
GO:0140513       SET    1207     0.037248    0.0052593     0.025738     0.073924
GO:1903311       SET     284     0.089413    0.0061723     0.051475     0.041194
GO:1903312       SET      90     0.079834    0.0031075     0.091159      0.19058
GO:1990904       SET     709    -0.018561   -0.0020171     0.035071      0.70167
