# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
GO:0000502       SET      59      0.11065    0.0034883      0.12146      0.18114
GO:0001533       SET      45     0.093594     0.002577      0.15006      0.26641
GO:0003779       SET     434    -0.052828   -0.0045024     0.042121      0.89511
GO:0004859       SET      14      0.29128    0.0044746       0.2378      0.11031
GO:0005198       SET     677    -0.035039   -0.0037221     0.036117      0.83402
GO:0005200       SET     102     0.045779    0.0018968     0.087605      0.30064
GO:0005882       SET     211     0.032486    0.0019342     0.083038      0.34782
GO:0007010       SET    1449    -0.021789   -0.0033637     0.023259      0.82556
GO:0008092       SET     978    -0.016497   -0.0021009     0.027863      0.72311
GO:0015629       SET     493     0.017836    0.0016193     0.040238      0.32879
GO:0019834       SET       6      0.23154    0.0023286      0.34736      0.25253
GO:0031674       SET     137     0.095571    0.0045879     0.075942      0.10411
GO:0032432       SET      78    -0.034346   -0.0012447      0.10192      0.63193
GO:0042383       SET     131     0.090817    0.0042634     0.081422      0.13235
GO:0042802       SET    1959     0.018325    0.0032749     0.020275      0.18305
GO:0043209       SET      45       0.0458    0.0012611      0.12135      0.35293
GO:0043292       SET     236     0.032455    0.0020432     0.056457      0.28269
GO:0045111       SET     253    -0.034025   -0.0022175     0.070698      0.68484
GO:0051015       SET     216      0.03992    0.0024046      0.06244       0.2613
GO:0099080       SET    1323     0.033549    0.0049543     0.025554     0.094624
GO:0099081       SET     990     0.025137    0.0032204     0.029739      0.19899
GO:0099513       SET     751     0.024436    0.0027322     0.035025      0.24269
GO:1905368       SET     111     -0.08459    -0.003656     0.088821      0.82954
GO:1905369       SET      79    -0.011482  -0.00041876      0.10411      0.54391
