# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
GO:0000027       SET      27     -0.12013   -0.0025625      0.18692      0.73978
GO:0000028       SET      19     0.085455    0.0015292      0.21894      0.34815
GO:0000375       SET     304     0.055669    0.0039752     0.051742      0.14099
GO:0000380       SET      73     0.090312    0.0031664      0.10441      0.19353
GO:0000381       SET      58     0.049391    0.0015438      0.11251      0.33033
GO:0000387       SET      48    -0.028599  -0.00081324      0.13232      0.58556
GO:0000462       SET      37    0.0012781   3.1913e-05      0.15796      0.49677
GO:0000785       SET    1248     0.043163    0.0061948     0.025667      0.04632
GO:0001091       SET      24    -0.065272   -0.0013127      0.18726      0.63629
GO:0001098       SET      74     0.074805    0.0026406      0.10391       0.2358
GO:0002181       SET     147     -0.12868   -0.0063981      0.08142      0.94299
GO:0002262       SET     160       0.2828     0.014669     0.069131    2.153e-05
GO:0003697       SET     119     0.085588    0.0038298      0.07989      0.14201
GO:0003700       SET    1397     0.051479    0.0078069     0.024604     0.018208
GO:0003723       SET    1929    -0.011249   -0.0019954     0.020803      0.70566
GO:0003727       SET      86      -0.1044   -0.0039726     0.092255      0.87111
GO:0003729       SET     566     -0.01492   -0.0014505     0.039016      0.64892
GO:0003730       SET     218    -0.046574   -0.0028184     0.062075      0.77346
GO:0003735       SET     164    -0.070507   -0.0037024     0.078803      0.81453
GO:0003743       SET      48     -0.36252    -0.010309      0.13283      0.99682
GO:0004984       SET     398     0.064977    0.0053048     0.054634      0.11716
GO:0005198       SET     677    -0.035039   -0.0037221     0.036117      0.83402
GO:0005681       SET     187      0.11332    0.0063528     0.066285     0.043676
GO:0005682       SET      23      0.10086    0.0019857      0.18911      0.29691
GO:0005683       SET       7      0.74027    0.0080416      0.42285     0.040005
GO:0005684       SET      92      0.13975    0.0054995     0.093039      0.06655
GO:0005685       SET      24      0.27036    0.0054375      0.20654     0.095271
GO:0005686       SET      23       0.1924     0.003788      0.19681      0.16415
GO:0005687       SET      13      0.11441    0.0016935      0.29409      0.34864
GO:0005689       SET      29   -0.0069415  -0.00015345      0.16526      0.51675
GO:0005730       SET    1408     0.023442    0.0035687     0.025672      0.18059
GO:0005757       SET       7       0.2661    0.0028906      0.30208      0.18919
GO:0005783       SET    1955     0.014483    0.0025857     0.020344      0.23827
GO:0005840       SET     212    -0.054423   -0.0032479     0.065249      0.79788
GO:0005844       SET      64     -0.17974   -0.0059012      0.11842      0.93547
GO:0005852       SET      13     -0.46764   -0.0069225      0.25665      0.96578
GO:0006376       SET      40     0.090095    0.0023389      0.15805      0.28432
GO:0006396       SET    1358   -0.0019759  -0.00029554     0.026188      0.53007
GO:0006397       SET     472      0.05606     0.004981     0.040296     0.082088
GO:0006403       SET     194     -0.10307   -0.0058851     0.066156      0.94038
GO:0006413       SET     113     -0.14864   -0.0064816     0.084366      0.96095
GO:0006457       SET     206     0.021805    0.0012828     0.061073      0.36053
GO:0006458       SET      42      0.13691    0.0036419      0.14149      0.16662
GO:0006518       SET     889  -0.00055263  -6.7148e-05     0.030906      0.50713
GO:0006754       SET      52        0.128    0.0037883      0.13333      0.16853
GO:0007186       SET    1233    0.0079575    0.0011353     0.027081      0.38444
GO:0007600       SET     953     -0.01877   -0.0023601     0.031192      0.72633
GO:0007606       SET     498     0.067037    0.0061168     0.047131     0.077466
GO:0007608       SET     427     0.084527    0.0071461      0.05173     0.051132
GO:0008097       SET      10       0.2138    0.0027759       0.3592      0.27585
GO:0008134       SET     592      0.13727     0.013646      0.03691   0.00010005
GO:0008135       SET      82     -0.23563   -0.0087551      0.10144       0.9899
GO:0008380       SET     413      0.04121    0.0034268       0.0441      0.17504
GO:0009295       SET      43     -0.08223   -0.0022133      0.13332      0.73131
GO:0009894       SET     970     0.030126    0.0038209     0.028095       0.1418
GO:0009895       SET     320    -0.072855   -0.0053369     0.048012      0.93542
GO:0010608       SET    1066    -0.020365   -0.0027056     0.028996      0.75877
GO:0010628       SET    1132      0.12056     0.016496     0.026337   2.3567e-06
GO:0010629       SET    1515     0.043734    0.0068997     0.023942     0.033877
GO:0015030       SET      78     0.076717    0.0027802      0.10054      0.22272
GO:0015078       SET     120     0.039443    0.0017723      0.08054      0.31216
GO:0015252       SET      21     0.061764     0.001162      0.20554       0.3819
GO:0015867       SET      15     0.027873    0.0004432      0.23148      0.45208
GO:0015931       SET     215    -0.065159   -0.0039159     0.062513      0.85137
GO:0015934       SET     112    -0.098774   -0.0042882     0.090076      0.86358
GO:0015935       SET      67     0.048713    0.0016363       0.1232      0.34628
GO:0015986       SET      23     0.080536    0.0015856      0.20489      0.34714
GO:0016071       SET     696     0.081859    0.0088153      0.03341    0.0071418
GO:0016072       SET     262     -0.10081   -0.0066854     0.055064      0.96643
GO:0016272       SET       7      0.30524    0.0033158       0.3347      0.18089
GO:0016469       SET      47     0.080186    0.0022563      0.12903      0.26716
GO:0016604       SET     816     0.044554    0.0051899      0.03094     0.074935
GO:0016607       SET     398     0.082415    0.0067284     0.043504     0.029088
GO:0016887       SET     325     0.066107      0.00488     0.049465     0.090705
GO:0017025       SET      25      0.26705    0.0054815      0.19312     0.083368
GO:0017069       SET      54     -0.14722     -0.00444      0.11844      0.89305
GO:0019080       SET      99     0.058829    0.0024015      0.09067      0.25823
GO:0019081       SET      18     -0.56139   -0.0097783       0.2387      0.99066
GO:0019843       SET      64    -0.071262   -0.0023396      0.12206      0.72033
GO:0022613       SET     442    -0.026983   -0.0023206     0.042262      0.73841
GO:0022625       SET      58     -0.12646   -0.0039526      0.13177       0.8314
GO:0022626       SET     100    -0.046017   -0.0018879     0.099345      0.67839
GO:0022627       SET      41     0.044087    0.0011587      0.15369      0.38711
GO:0030261       SET      49     -0.18833   -0.0054109      0.13964      0.91128
GO:0030490       SET      50    -0.042727     -0.00124      0.13763      0.62189
GO:0030684       SET      78      -0.1539   -0.0055775      0.10468      0.92924
GO:0031053       SET      13     0.010667    0.0001579      0.21862      0.48054
GO:0031072       SET     124    0.0094894   0.00043343     0.081397       0.4536
GO:0031330       SET     261    -0.091399   -0.0060497     0.052676      0.95864
GO:0031369       SET      30    -0.022104  -0.00049699      0.15346      0.55726
GO:0031672       SET      34    -0.032504  -0.00077801      0.14475      0.58884
GO:0032040       SET      39    -0.065196   -0.0016712      0.14192      0.67702
GO:0032239       SET      15    -0.037735  -0.00060001      0.21084      0.57102
GO:0032241       SET       6      0.15067    0.0015153      0.39083      0.34993
GO:0032993       SET     215   -0.0047899  -0.00028787     0.063991      0.52983
GO:0033119       SET      25      0.13971    0.0028678      0.17754      0.21565
GO:0033120       SET      36     0.043639    0.0010748      0.14791      0.38398
GO:0033178       SET      20      0.27715    0.0050885      0.17634     0.058015
GO:0034097       SET     903     0.092284       0.0113     0.030154    0.0011059
GO:0034101       SET     133      0.32764     0.015498     0.076422   9.0642e-06
GO:0034248       SET     523     0.044048     0.004118     0.039464      0.13218
GO:0034249       SET     278     0.044757     0.003057      0.05448      0.20567
GO:0034250       SET     162      0.15456    0.0080664     0.069706     0.013305
GO:0034399       SET     128      0.14788    0.0068624      0.07596      0.02578
GO:0034470       SET     385    -0.094918   -0.0076225     0.044495      0.98354
GO:0034660       SET     525    -0.077437   -0.0072531     0.038272      0.97848
GO:0034708       SET      91     0.098823    0.0038679      0.09898      0.15904
GO:0034709       SET      12       0.3277    0.0046607      0.27781      0.11908
GO:0034715       SET       6      0.26906     0.002706      0.35255      0.22268
GO:0034719       SET      16     0.034536   0.00056715      0.24712      0.44443
GO:0035145       SET      10     0.082183     0.001067      0.27379      0.38202
GO:0035770       SET     258     0.064512    0.0042456     0.054714      0.11918
GO:0036002       SET      47    -0.018143  -0.00051053      0.13718      0.55261
GO:0042026       SET      21      0.38629    0.0072673      0.18327      0.01753
GO:0042162       SET      38      0.10144    0.0025668      0.14224      0.23787
GO:0042254       SET     303     -0.03592   -0.0025608       0.0506      0.76111
GO:0042255       SET      62    -0.016409  -0.00053024      0.11824      0.55519
GO:0042273       SET      72     -0.11956   -0.0041631      0.10667      0.86883
GO:0042274       SET      73     0.042295    0.0014829      0.11292        0.354
GO:0042382       SET       8      0.12599    0.0014632      0.29501      0.33466
GO:0042776       SET      17      0.18192    0.0030794      0.22511       0.2095
GO:0042788       SET      31     -0.28273   -0.0064621       0.1731       0.9488
GO:0043021       SET     146    -0.024352   -0.0012067     0.071488      0.63331
GO:0043022       SET      66    -0.072758   -0.0024257      0.10248      0.76113
GO:0043043       SET     723      -0.0045   -0.0004938     0.034595      0.55175
GO:0043209       SET      45       0.0458    0.0012611      0.12135      0.35293
GO:0043484       SET     149     0.042746    0.0021398     0.071664      0.27543
GO:0043489       SET      62    -0.028162  -0.00091005      0.10674      0.60405
GO:0043603       SET    1161    0.0072949    0.0010106     0.026844      0.39291
GO:0043604       SET     853    0.0080072   0.00095332     0.031514      0.39972
GO:0043933       SET    1732      0.01928    0.0032462     0.022012      0.19055
GO:0044183       SET      41     0.096683    0.0025411      0.14409      0.25111
GO:0044389       SET     314     0.063701    0.0046226     0.049231      0.09785
GO:0044391       SET     176    -0.045791   -0.0024907      0.07322      0.73414
GO:0044665       SET      32    -0.034008   -0.0007897      0.17316      0.57785
GO:0044877       SET    1262     0.065096    0.0093938      0.02499    0.0045971
GO:0045182       SET     134     -0.12994   -0.0061693      0.07531      0.95777
GO:0045202       SET    1295    0.0036991   0.00054059     0.024903      0.44096
GO:0045259       SET      20     0.051557   0.00094658      0.20738      0.40183
GO:0045261       SET       7      0.41848     0.004546      0.29866      0.08058
GO:0045727       SET     136      0.13204    0.0063155     0.075781     0.040723
GO:0045934       SET    1454     0.072176     0.011161      0.02315   0.00091188
GO:0046034       SET     258     0.096037    0.0063202      0.05762     0.047788
GO:0046824       SET      60      0.21437    0.0068148      0.11551     0.031737
GO:0046831       SET      12      0.11513    0.0016375      0.22868      0.30732
GO:0046833       SET       5      0.13399    0.0012302      0.39961      0.36869
GO:0046933       SET      14      0.29896    0.0045926      0.24655      0.11265
GO:0048024       SET     100      0.05737    0.0023537     0.088216      0.25774
GO:0048025       SET      20     0.051966   0.00095409       0.2027      0.39883
GO:0048026       SET      22      0.18449    0.0035525      0.21111      0.19108
GO:0048027       SET      27      0.12001    0.0025599      0.16055      0.22739
GO:0050684       SET     135     0.059895    0.0028542     0.075666      0.21431
GO:0050685       SET      31       -0.117   -0.0026742      0.16384      0.76243
GO:0050686       SET      29     0.091461    0.0020219       0.1668      0.29174
GO:0050877       SET    1473     0.012767    0.0019868     0.024402      0.30043
GO:0051028       SET     123     -0.10912   -0.0049641     0.083474      0.90443
GO:0051052       SET     400   -0.0068684  -0.00056214     0.043842      0.56224
GO:0051082       SET     122     0.096963    0.0043931     0.081338      0.11661
GO:0051087       SET     107     0.010026   0.00042547     0.083989      0.45249
GO:0051236       SET     159    -0.071809    -0.003713     0.073088      0.83707
GO:0051438       SET      55    0.0088271   0.00026868      0.12252      0.47128
GO:0051444       SET      22      0.14999    0.0028881      0.21423      0.24193
GO:0055105       SET       9      0.16466    0.0020282      0.40171      0.34094
GO:0060089       SET    1473     0.083459     0.012988     0.024579   0.00034285
