Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21983)	upload_1 (556)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of anoikis (GO:2000811)	15	5	.38	+	13.18	1.02E-04	2.76E-02
central nervous system myelination (GO:0022010)	29	6	.73	+	8.18	1.94E-04	4.53E-02
axon ensheathment in central nervous system (GO:0032291)	29	6	.73	+	8.18	1.94E-04	4.46E-02
positive regulation of gliogenesis (GO:0014015)	87	11	2.20	+	5.00	3.01E-05	1.07E-02
cellular response to leukemia inhibitory factor (GO:1990830)	128	13	3.24	+	4.02	4.84E-05	1.58E-02
response to leukemia inhibitory factor (GO:1990823)	129	13	3.26	+	3.98	5.21E-05	1.60E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	333	25	8.42	+	2.97	3.45E-06	2.35E-03
proteasomal protein catabolic process (GO:0010498)	380	28	9.61	+	2.91	1.27E-06	1.17E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	549	38	13.89	+	2.74	7.35E-08	1.15E-04
modification-dependent protein catabolic process (GO:0019941)	561	38	14.19	+	2.68	1.23E-07	1.61E-04
modification-dependent macromolecule catabolic process (GO:0043632)	571	38	14.44	+	2.63	1.88E-07	2.10E-04
chromatin remodeling (GO:0006338)	439	28	11.10	+	2.52	2.38E-05	9.58E-03
proteolysis involved in protein catabolic process (GO:0051603)	648	40	16.39	+	2.44	5.82E-07	5.70E-04
chromatin organization (GO:0006325)	613	35	15.50	+	2.26	1.54E-05	7.34E-03
protein catabolic process (GO:0030163)	785	44	19.85	+	2.22	1.92E-06	1.51E-03
protein-DNA complex organization (GO:0071824)	694	36	17.55	+	2.05	8.34E-05	2.33E-02
organonitrogen compound catabolic process (GO:1901565)	1082	53	27.37	+	1.94	8.01E-06	4.48E-03
macromolecule catabolic process (GO:0009057)	1022	50	25.85	+	1.93	1.73E-05	7.98E-03
intracellular transport (GO:0046907)	1336	58	33.79	+	1.72	1.09E-04	2.80E-02
