




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21997)	upload_1 (52)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	23	3	.05	+	55.18	3.10E-05	8.99E-03
negative regulation of mRNA processing (GO:0050686)	24	3	.06	+	52.88	3.48E-05	9.56E-03
negative regulation of RNA splicing (GO:0033119)	28	3	.07	+	45.32	5.31E-05	1.30E-02
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	38	4	.09	+	44.53	2.88E-06	1.33E-03
positive regulation of RNA splicing (GO:0033120)	55	5	.13	+	38.46	2.97E-07	2.73E-04
positive regulation of mRNA processing (GO:0050685)	48	4	.11	+	35.25	6.85E-06	2.56E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	113	9	.27	+	33.69	1.09E-11	8.51E-08
spliceosomal complex assembly (GO:0000245)	45	3	.11	+	28.20	1.99E-04	4.04E-02
translation at presynapse (GO:0140236)	47	3	.11	+	27.00	2.24E-04	4.51E-02
nucleosome assembly (GO:0006334)	63	4	.15	+	26.86	1.89E-05	6.04E-03
translation at postsynapse (GO:0140242)	48	3	.11	+	26.44	2.38E-04	4.72E-02
translation at synapse (GO:0140241)	48	3	.11	+	26.44	2.38E-04	4.66E-02
regulation of mRNA processing (GO:0050684)	144	9	.34	+	26.44	8.39E-11	2.63E-07
cytoplasmic translation (GO:0002181)	113	7	.27	+	26.20	1.29E-08	2.25E-05
ribosomal large subunit biogenesis (GO:0042273)	73	4	.17	+	23.18	3.28E-05	9.34E-03
negative regulation of mRNA metabolic process (GO:1903312)	93	5	.22	+	22.74	3.45E-06	1.42E-03
nucleosome organization (GO:0034728)	81	4	.19	+	20.89	4.84E-05	1.20E-02
regulation of RNA splicing (GO:0043484)	187	9	.44	+	20.36	7.63E-10	1.49E-06
