




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21997)	upload_1 (176)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
5.8S rRNA binding (GO:1990932)	5	5	.04	+	 > 100	7.26E-09	2.01E-06
large ribosomal subunit rRNA binding (GO:0070180)	8	5	.06	+	78.11	3.64E-08	8.65E-06
RS domain binding (GO:0050733)	6	3	.05	+	62.49	3.99E-05	4.74E-03
U1 snRNP binding (GO:1990446)	10	4	.08	+	49.99	3.61E-06	5.81E-04
structural constituent of ribosome (GO:0003735)	162	56	1.30	+	43.20	3.10E-70	1.55E-66
ubiquitin ligase inhibitor activity (GO:1990948)	9	3	.07	+	41.66	1.03E-04	1.07E-02
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	16	5	.13	+	39.06	5.46E-07	1.01E-04
snRNP binding (GO:0070990)	13	4	.10	+	38.46	8.42E-06	1.27E-03
ubiquitin-protein transferase inhibitor activity (GO:0055105)	11	3	.09	+	34.09	1.68E-04	1.58E-02
mRNA 5'-UTR binding (GO:0048027)	26	7	.21	+	33.65	6.32E-09	2.10E-06
rRNA binding (GO:0019843)	73	16	.58	+	27.39	1.33E-17	8.27E-15
proton channel activity (GO:0015252)	23	5	.18	+	27.17	2.52E-06	4.20E-04
5S rRNA binding (GO:0008097)	14	3	.11	+	26.78	3.08E-04	2.85E-02
translation initiation factor binding (GO:0031369)	37	7	.30	+	23.65	5.27E-08	1.14E-05
sequence-specific mRNA binding (GO:1990825)	16	3	.13	+	23.43	4.34E-04	3.87E-02
pre-mRNA binding (GO:0036002)	38	6	.30	+	19.73	1.26E-06	2.17E-04
ATP-dependent protein folding chaperone (GO:0140662)	26	4	.21	+	19.23	8.95E-05	9.92E-03
RNA polymerase II general transcription initiation factor binding (GO:0001091)	26	4	.21	+	19.23	8.95E-05	9.71E-03
TBP-class protein binding (GO:0017025)	27	4	.22	+	18.52	1.02E-04	1.08E-02
molecular condensate scaffold activity (GO:0140693)	28	4	.22	+	17.85	1.16E-04	1.18E-02
translation initiation factor activity (GO:0003743)	61	8	.49	+	16.39	7.44E-08	1.43E-05
protein folding chaperone (GO:0044183)	57	7	.46	+	15.35	7.48E-07	1.33E-04
mRNA 3'-UTR binding (GO:0003730)	106	13	.85	+	15.33	1.19E-11	5.96E-09
mRNA binding (GO:0003729)	335	40	2.68	+	14.92	1.40E-33	1.40E-30
unfolded protein binding (GO:0051082)	89	10	.71	+	14.04	6.51E-09	2.03E-06
translation factor activity, RNA binding (GO:0008135)	90	10	.72	+	13.89	7.18E-09	2.11E-06
telomeric DNA binding (GO:0042162)	38	4	.30	+	13.16	3.39E-04	3.08E-02
