GENEID	ENSID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj			
ENSMUSG00000031314	ENSG00000147133	Taf1	7236.664557	-1.316576368	0.074349359	-17.70797209	1.67E-71	2.78E-67			
ENSMUSG00000020932	ENSG00000131095	Gfap	12643.07399	1.171110927	0.075063569	15.60158864	3.61E-56	3.02E-52			
ENSMUSG00000030789	ENSG00000140678	Itgax	108.6335952	3.585984353	0.310256032	11.55814548	5.48E-32	3.05E-28			
ENSMUSG00000050063	ENSG00000167755	Klk6	601.4110229	-1.863940586	0.166669827	-11.18343142	2.31E-30	9.65E-27			
ENSMUSG00000079293	ENSG00000172243	Clec7a	143.8325339	2.930940699	0.278900799	10.50890033	3.73E-27	1.25E-23			
ENSMUSG00000073418	ENSG00000224389	C4b	4214.583994	0.564865874	0.060881084	9.278183632	8.50E-22	2.32E-18			
ENSMUSG00000004894	ENSG00000132702	Hapln2	2105.222379	-0.768769857	0.083041177	-9.257694641	9.72E-22	2.32E-18			
ENSMUSG00000024810	ENSG00000137033	Il33	3946.649061	-0.700899418	0.080968942	-8.656398327	2.31E-19	4.81E-16			
ENSMUSG00000024197	ENSG00000105355	Plin3	1434.450335	-0.755419274	0.088392523	-8.546189779	6.05E-19	1.12E-15			
ENSMUSG00000020758	ENSG00000132470	Itgb4	1284.598254	-1.026888265	0.129637906	-7.921203731	1.05E-16	1.76E-13			
ENSMUSG00000021091	ENSG00000196136	Serpina3n	662.0596863	1.376164957	0.179200435	7.679473319	7.48E-16	1.14E-12			
ENSMUSG00000022766	ENSG00000099937	Serpind1	190.3492115	-1.3514595	0.191747648	-7.04811512	8.33E-14	1.16E-10			
ENSMUSG00000026888	ENSG00000115290	Grb14	1800.28927	-0.603986542	0.08727586	-6.920430736	2.10E-13	2.70E-10			
ENSMUSG00000030213	ENSG00000171681	Atf7ip	10483.29822	-0.531267103	0.077116049	-6.889189893	2.53E-13	3.01E-10			
ENSMUSG00000020604	ENSG00000141337	Arsg	3030.979524	-0.52412505	0.076188749	-6.879297232	2.79E-13	3.10E-10			
ENSMUSG00000071042	ENSG00000152689	Rasgrp3	1794.932323	-0.593376858	0.088120584	-6.733691873	7.68E-13	8.02E-10			
ENSMUSG00000056812	ENSG00000177511	St8sia3	36093.60002	-0.320718153	0.047768959	-6.713944774	1.00E-12	9.83E-10			
ENSMUSG00000109222	0	Gm10297	48.13381684	-9.856441349	2.939419549	-3.353193099	1.61E-12	1.49E-09			
ENSMUSG00000073680	ENSG00000205116	Tmem88b	5855.718499	-0.502074557	0.075875223	-6.617108185	1.74E-12	1.53E-09			
ENSMUSG00000060802	ENSG00000166710	B2m	3870.271567	0.514978515	0.078659245	6.546954698	3.07E-12	2.56E-09			
ENSMUSG00000005198	ENSG00000181222	Polr2a	3995.143486	0.59978356	0.092722156	6.468611041	4.67E-12	3.71E-09			
ENSMUSG00000074896	ENSG00000119917	Ifit3	840.0358073	0.781080408	0.124853768	6.255961848	1.81E-11	1.37E-08			
ENSMUSG00000033590	ENSG00000128833	Myo5c	408.8106206	-0.94057085	0.151893184	-6.192317681	2.64E-11	1.92E-08			
ENSMUSG00000032517	ENSG00000168314	Mobp	147931.7242	0.384349311	0.062691135	6.130839856	4.25E-11	2.95E-08			
ENSMUSG00000057457	ENSG00000102174	Phex	765.0417083	-1.183362303	0.196097839	-6.034550444	6.93E-11	4.63E-08			
ENSMUSG00000030994	ENSG00000154493	D7Ertd443e	1400.243954	-0.541862216	0.089982789	-6.021842853	7.95E-11	5.11E-08			
ENSMUSG00000004341	ENSG00000198704	Gpx6	336.9815807	-1.151527243	0.192918305	-5.968988999	1.08E-10	6.71E-08			
ENSMUSG00000045991	ENSG00000119547	Onecut2	5193.351057	0.341258305	0.058325732	5.850904813	2.35E-10	1.40E-07			
ENSMUSG00000028407	ENSG00000235453	Smim27	214.9935013	-1.083393357	0.186630955	-5.805003565	2.73E-10	1.57E-07			
ENSMUSG00000027883	ENSG00000121957	Gpsm2	1432.067189	-0.788513681	0.137373706	-5.739917068	3.89E-10	2.17E-07			
ENSMUSG00000021140	ENSG00000100731	Pcnx	13823.91726	-0.326844607	0.057684051	-5.666117434	7.34E-10	3.96E-07			
ENSMUSG00000060716	ENSG00000054690	Plekhh1	7728.166129	-0.308971979	0.05508544	-5.60895904	1.03E-09	5.37E-07			
ENSMUSG00000030683	ENSG00000174938	Sez6l2	17880.46764	-0.42706245	0.077971454	-5.477164134	1.88E-09	9.51E-07			
ENSMUSG00000046805	ENSG00000197629	Mpeg1	2020.524141	0.471245798	0.086012183	5.478826132	1.98E-09	9.70E-07			
ENSMUSG00000018217	ENSG00000109099	Pmp22	1735.723661	-0.463056503	0.084651061	-5.470179556	2.03E-09	9.70E-07			
ENSMUSG00000022548	ENSG00000189058	Apod	14330.62859	-0.383067645	0.070351284	-5.445069704	2.44E-09	1.13E-06			
ENSMUSG00000029561	0	Oasl2	286.946211	0.922543951	0.170089159	5.423884478	2.59E-09	1.17E-06			
ENSMUSG00000068129	ENSG00000077984	Cst7	24.73897766	3.917680477	0.720833543	5.434930873	4.41E-09	1.94E-06			
ENSMUSG00000000682	ENSG00000169442	Cd52	144.4135628	1.260740908	0.240386724	5.244636181	6.67E-09	2.86E-06			
ENSMUSG00000036777	ENSG00000011426	Anln	5504.218036	-0.593921223	0.114489147	-5.187576638	9.42E-09	3.93E-06			
ENSMUSG00000030685	ENSG00000174943	Kctd13	5408.869146	-0.376448436	0.074191466	-5.074012663	1.82E-08	7.40E-06			
ENSMUSG00000044734	ENSG00000021355	Serpinb1a	1369.933376	-0.528786509	0.104466184	-5.061795953	2.00E-08	7.96E-06			
ENSMUSG00000030707	ENSG00000102879	Coro1a	3065.83571	-0.320590079	0.065108992	-4.923898681	3.86E-08	1.50E-05			
ENSMUSG00000051617	ENSG00000171403	Krt9	460.4392155	-0.63695502	0.131065495	-4.859822326	5.00E-08	1.90E-05			
ENSMUSG00000039410	ENSG00000142611	Prdm16	1540.427616	0.533162841	0.110988996	4.803745077	6.93E-08	2.57E-05			
ENSMUSG00000021474	ENSG00000164466	Sfxn1	5434.342022	-0.280981655	0.058435491	-4.808407544	7.76E-08	2.82E-05			
ENSMUSG00000022101	ENSG00000158815	Fgf17	72.21167971	1.693502023	0.363714734	4.656127088	1.37E-07	4.88E-05			
ENSMUSG00000038526	ENSG00000118298	Car14	1230.695647	-0.523819542	0.112661147	-4.649513676	1.42E-07	4.94E-05			
ENSMUSG00000062488	ENSG00000119917	Ifit3b	452.1779417	0.624432612	0.13442108	4.645347389	1.47E-07	5.00E-05			
ENSMUSG00000067028	0	Cntnap5b	3026.332812	-0.320604524	0.070234749	-4.564756445	2.37E-07	7.92E-05			
ENSMUSG00000093909	0	Gm3883	1663.906591	-0.374446236	0.082317116	-4.548825966	2.49E-07	8.15E-05			
ENSMUSG00000037686	ENSG00000166183	Aspg	141.9425227	1.102583505	0.250775008	4.396704105	4.35E-07	0.000139763			
ENSMUSG00000033740	ENSG00000147488	St18	2005.589241	-0.331584008	0.075232259	-4.407471086	4.81E-07	0.000151311			
ENSMUSG00000038115	ENSG00000047617	Ano2	1600.639668	-0.57030607	0.130191022	-4.380533026	4.89E-07	0.000151311			
ENSMUSG00000073489	ENSG00000163563	Ifi204	56.28478379	1.766997858	0.406147936	4.350626216	5.71E-07	0.000173365			
ENSMUSG00000007891	ENSG00000117984	Ctsd	28896.79054	0.240299659	0.054824285	4.38308788	6.03E-07	0.000179887			
ENSMUSG00000035773	ENSG00000116014	Kiss1r	488.3284186	0.628182889	0.145074394	4.330074195	6.24E-07	0.000180328			
ENSMUSG00000048100	ENSG00000197780	Taf13	2055.406196	0.30736034	0.070539504	4.3572796	6.26E-07	0.000180328			
ENSMUSG00000030111	ENSG00000175899	A2m	245.4471814	0.847578107	0.197460756	4.292387632	7.29E-07	0.000206238			
ENSMUSG00000073411	0	H2-D1	2737.762359	0.465548246	0.108537501	4.289284722	7.69E-07	0.000214155			
ENSMUSG00000005125	ENSG00000104419	Ndrg1	8610.595455	-0.366774757	0.086147387	-4.257526196	8.93E-07	0.000244392			
ENSMUSG00000028542	ENSG00000196517	Slc6a9	3282.441403	-0.348501107	0.081991636	-4.25044704	9.54E-07	0.00025708			
ENSMUSG00000014846	ENSG00000159713	Tppp3	2555.831521	-0.330694828	0.078104426	-4.234008836	1.10E-06	0.000292502			
ENSMUSG00000022490	ENSG00000135447	Ppp1r1a	6791.227805	0.319955906	0.075813369	4.220309799	1.13E-06	0.00029482			
ENSMUSG00000030592	ENSG00000196218	Ryr1	13921.38942	-0.400760047	0.096794875	-4.140302336	1.49E-06	0.000382168			
ENSMUSG00000034855	ENSG00000169245	Cxcl10	39.27556099	2.108849376	0.511413231	4.12357219	1.61E-06	0.000407964			
ENSMUSG00000040140	ENSG00000180113	Tdrd6	155.4748632	-1.121455102	0.275350216	-4.072831756	1.71E-06	0.000426473			
ENSMUSG00000061136	ENSG00000196504	Prpf40a	5176.074335	-0.236910593	0.05752373	-4.118484517	1.93E-06	0.000473803			
ENSMUSG00000059336	ENSG00000141469	Slc14a1	834.1678536	0.490558149	0.120510722	4.070659797	1.96E-06	0.000474005			
ENSMUSG00000026104	ENSG00000115415	Stat1	2183.081207	0.349243714	0.085839504	4.068566298	2.12E-06	0.000505768			
ENSMUSG00000035112	ENSG00000126562	Wnk4	424.1299544	0.738437678	0.183158733	4.031681516	2.22E-06	0.000521526			
ENSMUSG00000029575	ENSG00000139428	Mmab	1916.792176	-0.435083294	0.107802313	-4.035936561	2.37E-06	0.000548888			
ENSMUSG00000030849	ENSG00000066468	Fgfr2	7222.922936	-0.265044797	0.065282292	-4.059979974	2.40E-06	0.000548888			
ENSMUSG00000031604	ENSG00000052802	Msmo1	5989.962803	-0.302370066	0.074782082	-4.04334914	2.53E-06	0.000570083			
ENSMUSG00000061232	0	H2-K1	2000.858988	0.510428857	0.127612246	3.999842286	2.61E-06	0.000580916			
ENSMUSG00000055945	ENSG00000176381	Prr18	5485.03652	-0.282907057	0.070729159	-3.99986459	2.96E-06	0.000650145			
ENSMUSG00000058145	ENSG00000140470	Adamts17	425.4437012	-0.758542909	0.192880197	-3.932715335	3.17E-06	0.000687887			
ENSMUSG00000031841	ENSG00000140945	Cdh13	10606.06141	-0.217080335	0.054397765	-3.990611316	3.44E-06	0.000737529			
ENSMUSG00000020486	0	Septin4	16059.73934	-0.241872906	0.061314154	-3.944813553	3.84E-06	0.00081112			
ENSMUSG00000033880	ENSG00000108679	Lgals3bp	1080.988208	0.613845026	0.159651042	3.844917134	4.78E-06	0.000994081			
ENSMUSG00000046818	ENSG00000145358	Ddit4l	2020.331796	-0.4838154	0.12599129	-3.840070201	4.82E-06	0.000994081			
ENSMUSG00000018930	ENSG00000276070	Ccl4	20.30510255	2.502493154	0.647426878	3.865290799	5.31E-06	0.001081753			
ENSMUSG00000069516	0	Lyz2	689.1890794	0.487709382	0.128567524	3.793410389	6.02E-06	0.001212164			
ENSMUSG00000027562	ENSG00000104267	Car2	13918.85375	-0.300820034	0.080856907	-3.720399966	7.64E-06	0.001518283			
ENSMUSG00000075289	ENSG00000172508	Carns1	1429.868656	-0.393289973	0.105146888	-3.740386239	7.89E-06	0.00155103			
ENSMUSG00000079235	ENSG00000244607	Ccdc13	403.9010322	-0.58066687	0.156856827	-3.701890952	8.29E-06	0.001609453			
ENSMUSG00000047797	ENSG00000169562	Gjb1	1789.23465	-0.282559575	0.076105587	-3.712731053	9.27E-06	0.001760246			
ENSMUSG00000027955	ENSG00000164125	Gask1b	1125.051099	-0.51766428	0.14091112	-3.673693605	9.29E-06	0.001760246			
