GENE_ID	GENE_NAME	GENE_DESCRIPTION	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000005198.16	Polr2a	polymerase (RNA) II (DNA directed) polypeptide A 	5268.1585	0.593848885	0.03975904	14.93619778	1.916E-50	3.14224E-46
ENSMUSG00000031314.19	Taf1	TATA-box binding protein associated factor 1 	2700.86398	-1.205205114	0.085968712	-14.01911331	1.19093E-44	9.76565E-41
ENSMUSG00000051617.4	Krt9	keratin 9 	1168.799144	-0.822137751	0.065198453	-12.60977386	1.86527E-36	1.01968E-32
ENSMUSG00000053461.10	Hhipl2	hedgehog interacting protein-like 2 	40.46304805	4.046428715	0.33358291	12.13020389	7.30673E-34	2.99576E-30
ENSMUSG00000067038.7	Rps12-ps3	ribosomal protein S12, pseudogene 3 	151.9579028	-10.67584039	1.076232198	-9.919644114	3.41973E-23	1.12167E-19
ENSMUSG00000034135.16	Sik3	SIK family kinase 3 	10498.35545	-0.795282085	0.08615539	-9.230787362	2.6865E-20	7.34309E-17
ENSMUSG00000020932.15	Gfap	glial fibrillary acidic protein 	5951.569115	1.136866421	0.129537039	8.776381088	1.68819E-18	3.95519E-15
ENSMUSG00000026888.15	Grb14	growth factor receptor bound protein 14 	889.8721773	-0.683984694	0.083252866	-8.215749545	2.10843E-16	4.32228E-13
ENSMUSG00000051506.18	Wdfy4	WD repeat and FYVE domain containing 4 	144.7033903	1.733271505	0.229861546	7.540502247	4.68165E-14	8.531E-11
ENSMUSG00000022797.17	Tfrc	transferrin receptor 	4034.300693	0.450603522	0.062614244	7.196501887	6.17769E-13	1.01314E-09
ENSMUSG00000057457.12	Phex	phosphate regulating endopeptidase homolog, X-linked 	258.7957116	-1.134712886	0.162650822	-6.976373502	3.02897E-12	4.51592E-09
ENSMUSG00000046805.11	Mpeg1	macrophage expressed gene 1 	1975.644017	0.487183703	0.072673391	6.703742586	2.03148E-11	2.77636E-08
ENSMUSG00000030579.11	Tyrobp	TYRO protein tyrosine kinase binding protein 	602.3784542	0.532640064	0.079879386	6.668054043	2.59217E-11	3.27013E-08
ENSMUSG00000028268.15	Gbp3	guanylate binding protein 3 	313.5941014	0.967908171	0.146732567	6.596409996	4.21233E-11	4.93444E-08
ENSMUSG00000015340.11	Cybb	cytochrome b-245, beta polypeptide 	58.94096367	2.22309459	0.344177062	6.459159642	1.05286E-10	1.15113E-07
ENSMUSG00000021091.9	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N 	425.3715293	1.482297828	0.23077303	6.423184849	1.33452E-10	1.36789E-07
ENSMUSG00000021474.10	Sfxn1	sideroflexin 1 	2521.288773	-0.333863035	0.052257838	-6.388764821	1.67231E-10	1.61329E-07
ENSMUSG00000015090.14	Ptgds	prostaglandin D2 synthase (brain) 	5789.143085	-0.88856443	0.139740782	-6.358662236	2.03518E-10	1.85428E-07
ENSMUSG00000022101.7	Fgf17	fibroblast growth factor 17 	42.21149058	1.950138163	0.309049529	6.310115302	2.78828E-10	2.37052E-07
ENSMUSG00000073411.13	H2-D1	histocompatibility 2, D region locus 1 	1349.481713	0.597495641	0.094772576	6.30452046	2.89088E-10	2.37052E-07
ENSMUSG00000102758.4	Naaladl2	N-acetylated alpha-linked acidic dipeptidase-like 2 	139.1059745	-1.320517285	0.209763605	-6.295264067	3.06877E-10	2.39656E-07
ENSMUSG00000050063.19	Klk6	kallikrein related-peptidase 6 	299.5961798	-1.558071837	0.250277894	-6.225367383	4.80429E-10	3.58138E-07
ENSMUSG00000004562.17	Arhgef40	Rho guanine nucleotide exchange factor (GEF) 40 	1228.62725	0.451935417	0.072978649	6.192707375	5.91395E-10	4.2169E-07
ENSMUSG00000030789.10	Itgax	integrin alpha X 	63.25287061	3.126384466	0.508551499	6.147626092	7.86512E-10	5.3745E-07
ENSMUSG00000035969.16	Rusc2	RUN and SH3 domain containing 2 	3980.27078	-0.389245398	0.066591687	-5.845255142	5.05792E-09	3.318E-06
ENSMUSG00000038115.17	Ano2	anoctamin 2 	623.3635416	-0.586098238	0.100478129	-5.833092685	5.44093E-09	3.43197E-06
ENSMUSG00000079293.12	Clec7a	C-type lectin domain family 7, member a 	53.32076573	2.192222511	0.38038189	5.763214725	8.25267E-09	4.98679E-06
ENSMUSG00000004341.9	Gpx6	glutathione peroxidase 6 	165.3058095	-0.988027533	0.171593555	-5.757952452	8.51403E-09	4.98679E-06
ENSMUSG00000004894.11	Hapln2	hyaluronan and proteoglycan link protein 2 	961.9795489	-0.788322834	0.138434283	-5.694563647	1.23688E-08	6.99476E-06
ENSMUSG00000008682.14	Rpl10	ribosomal protein L10 	7639.580295	-0.244142556	0.04310369	-5.66407548	1.47819E-08	8.08079E-06
ENSMUSG00000030270.12	Cpne9	copine family member IX 	494.5959881	-0.674166038	0.119649459	-5.634509719	1.75557E-08	9.28753E-06
ENSMUSG00000000682.8	Cd52	CD52 antigen 	83.97233653	1.446043967	0.256961328	5.627477009	1.82865E-08	9.37181E-06
ENSMUSG00000014846.13	Tppp3	tubulin polymerization-promoting protein family member 3 	1437.551397	-0.423842312	0.075594935	-5.606755452	2.06155E-08	1.02453E-05
ENSMUSG00000030592.19	Ryr1	ryanodine receptor 1, skeletal muscle 	6644.488782	-0.397286223	0.071301458	-5.571922844	2.51943E-08	1.21525E-05
ENSMUSG00000073418.5	C4b	complement component 4B (Chido blood group) 	2121.983265	0.464853465	0.084024511	5.532355506	3.15959E-08	1.47786E-05
ENSMUSG00000056812.15	St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 	18549.03557	-0.445912847	0.0806684	-5.52772646	3.24407E-08	1.47786E-05
ENSMUSG00000060802.9	B2m	beta-2 microglobulin 	1975.169388	0.456858384	0.082857101	5.513810885	3.51146E-08	1.55643E-05
