setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HP_HEMOPTYSIS	63	0.766788575221686	2.09259575057101	1.84358284406144e-06	0.0027700328102244	0.00260350076355381	1203	tags=10%, list=5%, signal=9%	ENSMUSG00000079293/ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000002496/ENSMUSG00000026656/ENSMUSG00000060550
HP_INFECTIOUS_ENCEPHALITIS	45	0.808584511690132	2.07503826151091	1.30879012760254e-06	0.0027700328102244	0.00260350076355381	1554	tags=18%, list=7%, signal=17%	ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000026104/ENSMUSG00000057948/ENSMUSG00000031639/ENSMUSG00000020115/ENSMUSG00000060550/ENSMUSG00000032115
HP_HEPATITIS	82	0.715341772868045	2.01965586866872	2.30005492130451e-06	0.0027700328102244	0.00260350076355381	2366	tags=21%, list=10%, signal=19%	ENSMUSG00000079293/ENSMUSG00000073418/ENSMUSG00000026104/ENSMUSG00000006932/ENSMUSG00000027523/ENSMUSG00000027665/ENSMUSG00000053477/ENSMUSG00000027598/ENSMUSG00000021948/ENSMUSG00000021457/ENSMUSG00000029771/ENSMUSG00000033792/ENSMUSG00000021451/ENSMUSG00000063810/ENSMUSG00000007476/ENSMUSG00000036918/ENSMUSG00000027742
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	28	0.882064041240999	2.09100677726249	3.09063533814235e-06	0.00279161636917708	0.00262378673706506	154	tags=25%, list=1%, signal=25%	ENSMUSG00000073418/ENSMUSG00000029304/ENSMUSG00000036887/ENSMUSG00000036905/ENSMUSG00000026874/ENSMUSG00000036896/ENSMUSG00000024164
HP_UNUSUAL_INFECTION_BY_ANATOMICAL_SITE	100	0.671707577281068	1.97971378365354	1.35627315954917e-05	0.00816702487575194	0.00767603019772918	2058	tags=15%, list=9%, signal=14%	ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000026104/ENSMUSG00000015340/ENSMUSG00000057948/ENSMUSG00000022797/ENSMUSG00000006519/ENSMUSG00000031639/ENSMUSG00000020115/ENSMUSG00000060550/ENSMUSG00000022508/ENSMUSG00000032115/ENSMUSG00000025940/ENSMUSG00000026480/ENSMUSG00000007476
HP_PAPULE	86	0.681274851659521	1.93573766951706	1.15628397226503e-05	0.00816702487575194	0.00767603019772918	1682	tags=17%, list=7%, signal=16%	ENSMUSG00000079293/ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000020122/ENSMUSG00000046873/ENSMUSG00000027523/ENSMUSG00000027665/ENSMUSG00000048661/ENSMUSG00000058076/ENSMUSG00000040249/ENSMUSG00000004040/ENSMUSG00000060550/ENSMUSG00000046020/ENSMUSG00000027429/ENSMUSG00000024639
HP_MENINGITIS	73	0.704220439614461	1.95639711068084	2.22595351026462e-05	0.0110383237679011	0.0103747090113913	1221	tags=12%, list=5%, signal=12%	ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000015340/ENSMUSG00000022797/ENSMUSG00000006519/ENSMUSG00000031639/ENSMUSG00000020115/ENSMUSG00000060550/ENSMUSG00000022508
HP_NORMOCHROMIC_ANEMIA	34	-0.828480977561466	-1.90992196852417	2.44413479499608e-05	0.0110383237679011	0.0103747090113913	1847	tags=62%, list=8%, signal=57%	ENSMUSG00000037012/ENSMUSG00000062997/ENSMUSG00000040952/ENSMUSG00000008683/ENSMUSG00000030695/ENSMUSG00000052146/ENSMUSG00000025264/ENSMUSG00000063316/ENSMUSG00000025290/ENSMUSG00000067288/ENSMUSG00000023456/ENSMUSG00000028234/ENSMUSG00000058558/ENSMUSG00000059291/ENSMUSG00000025362/ENSMUSG00000061477/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000060938/ENSMUSG00000005672/ENSMUSG00000034892
HP_APHTHOUS_ULCER	38	0.801326215102072	2.01101166883138	3.43423900002348e-05	0.0131213767133307	0.0123325305627936	1302	tags=18%, list=6%, signal=17%	ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000026648/ENSMUSG00000073079/ENSMUSG00000021948/ENSMUSG00000060550/ENSMUSG00000022672
HP_UNUSUAL_FUNGAL_INFECTION	65	0.705578243867931	1.93025181795871	4.77971486832435e-05	0.0131213767133307	0.0123325305627936	1254	tags=15%, list=5%, signal=15%	ENSMUSG00000079293/ENSMUSG00000026104/ENSMUSG00000015340/ENSMUSG00000018209/ENSMUSG00000022797/ENSMUSG00000026648/ENSMUSG00000006519/ENSMUSG00000004040/ENSMUSG00000031537/ENSMUSG00000029771
HP_ABNORMAL_SPUTUM	111	0.642626755622219	1.92816103457486	6.17391099160313e-05	0.0131213767133307	0.0123325305627936	2815	tags=14%, list=12%, signal=12%	ENSMUSG00000079293/ENSMUSG00000073418/ENSMUSG00000073411/ENSMUSG00000039632/ENSMUSG00000002496/ENSMUSG00000026656/ENSMUSG00000060550/ENSMUSG00000024515/ENSMUSG00000053626/ENSMUSG00000020973/ENSMUSG00000000530/ENSMUSG00000033276/ENSMUSG00000037617/ENSMUSG00000038637/ENSMUSG00000056752
HP_ORCHITIS	17	0.887808357932555	1.91318725344983	4.03549392630175e-05	0.0131213767133307	0.0123325305627936	24	tags=12%, list=0%, signal=12%	ENSMUSG00000073418/ENSMUSG00000073411
HP_PURE_RED_CELL_APLASIA	25	-0.870270620338888	-1.89255486078175	3.95516172899575e-05	0.0131213767133307	0.0123325305627936	1699	tags=68%, list=7%, signal=63%	ENSMUSG00000062997/ENSMUSG00000040952/ENSMUSG00000008683/ENSMUSG00000052146/ENSMUSG00000025264/ENSMUSG00000063316/ENSMUSG00000025290/ENSMUSG00000067288/ENSMUSG00000028234/ENSMUSG00000058558/ENSMUSG00000059291/ENSMUSG00000025362/ENSMUSG00000061477/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000060938/ENSMUSG00000034892
HP_RETICULOCYTOPENIA	33	-0.825680219520464	-1.88928755258095	6.00239409465851e-05	0.0131213767133307	0.0123325305627936	1706	tags=55%, list=7%, signal=51%	ENSMUSG00000025337/ENSMUSG00000062997/ENSMUSG00000040952/ENSMUSG00000008683/ENSMUSG00000052146/ENSMUSG00000025264/ENSMUSG00000063316/ENSMUSG00000025290/ENSMUSG00000067288/ENSMUSG00000028234/ENSMUSG00000058558/ENSMUSG00000059291/ENSMUSG00000025362/ENSMUSG00000061477/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000060938/ENSMUSG00000034892
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL	32	-0.826797087687351	-1.88376675354285	5.0248544868613e-05	0.0131213767133307	0.0123325305627936	1771	tags=59%, list=8%, signal=55%	ENSMUSG00000031381/ENSMUSG00000062997/ENSMUSG00000040952/ENSMUSG00000008683/ENSMUSG00000030815/ENSMUSG00000052146/ENSMUSG00000025264/ENSMUSG00000063316/ENSMUSG00000025290/ENSMUSG00000067288/ENSMUSG00000028234/ENSMUSG00000058558/ENSMUSG00000059291/ENSMUSG00000025362/ENSMUSG00000061477/ENSMUSG00000061787/ENSMUSG00000060636/ENSMUSG00000060938/ENSMUSG00000034892
