GENE	P_MULTI
ENSG00000187634	0.51213
ENSG00000188976	0.89449
ENSG00000187961	0.49388
ENSG00000187583	0.65001
ENSG00000187642	0.6965
ENSG00000188290	0.97071
ENSG00000187608	0.4225
ENSG00000188157	0.5711
ENSG00000237330	0.55265
ENSG00000131591	0.51509
ENSG00000162571	0.13403
ENSG00000186891	0.32695
ENSG00000186827	0.19704
ENSG00000078808	0.095771
ENSG00000176022	0.084967
ENSG00000160087	0.69464
ENSG00000162572	0.77748
ENSG00000131584	0.82609
ENSG00000169972	0.70628
ENSG00000224051	0.791
ENSG00000169962	0.73724
ENSG00000107404	0.75501
ENSG00000162576	0.86255
ENSG00000175756	0.79522
ENSG00000221978	0.76168
ENSG00000242485	0.81982
ENSG00000235098	0.69035
ENSG00000205116	0.61499
ENSG00000179403	0.34397
ENSG00000215915	0.63792
ENSG00000160072	0.84322
ENSG00000197785	0.69227
ENSG00000205090	0.55837
ENSG00000160075	0.63729
ENSG00000197530	0.63335
ENSG00000189409	0.46675
ENSG00000189339	0.98151
ENSG00000008128	0.53487
ENSG00000008130	0.16964
ENSG00000078369	0.32649
ENSG00000169885	0.11955
ENSG00000178821	0.12415
ENSG00000142609	0.028361
ENSG00000187730	0.74963
ENSG00000067606	0.33884
ENSG00000157933	0.40126
ENSG00000116151	0.88626
ENSG00000157916	0.62282
ENSG00000157911	0.73998
ENSG00000149527	0.47354
ENSG00000157881	0.39114
ENSG00000197921	0.54083
ENSG00000157873	0.70902
ENSG00000142606	0.4011
ENSG00000169717	0.15202
ENSG00000142611	0.75933
ENSG00000130762	0.088149
ENSG00000162591	0.0084511
ENSG00000158109	0.38128
ENSG00000116213	0.95851
ENSG00000078900	0.77464
ENSG00000162592	0.12796
ENSG00000235169	0.034225
ENSG00000130764	0.040097
ENSG00000116198	0.085037
ENSG00000169598	0.23868
ENSG00000198912	0.95884
ENSG00000196581	0.63159
ENSG00000131697	0.44444
ENSG00000069424	0.92822
ENSG00000116254	0.24241
ENSG00000116251	0.013875
ENSG00000158286	0.48356
ENSG00000116237	0.21318
ENSG00000173673	0.24498
ENSG00000158292	0.44806
ENSG00000097021	0.81068
ENSG00000069812	0.97519
ENSG00000187017	0.95832
ENSG00000215788	0.63103
ENSG00000171680	0.91813
ENSG00000162408	0.85131
ENSG00000173662	0.93179
ENSG00000204859	0.85703
ENSG00000162413	0.83372
ENSG00000116273	0.85107
ENSG00000041988	0.84187
ENSG00000007923	0.70143
ENSG00000171735	0.28797
ENSG00000049245	0.32155
ENSG00000049246	0.72762
ENSG00000049247	0.88781
ENSG00000049249	0.84786
ENSG00000116288	0.78341
ENSG00000116285	0.29146
ENSG00000162426	0.47558
ENSG00000142599	0.42525
ENSG00000074800	0.83719
ENSG00000131686	0.95022
ENSG00000197241	0.72752
ENSG00000142583	0.55698
ENSG00000180758	0.53662
ENSG00000049239	0.92728
ENSG00000171621	0.52883
ENSG00000171612	0.23763
ENSG00000188807	0.26664
ENSG00000171608	0.49034
ENSG00000171603	0.50535
ENSG00000178585	0.563
ENSG00000162441	0.69532
ENSG00000173614	0.74528
ENSG00000162444	0.78544
ENSG00000130939	0.58812
ENSG00000054523	0.29933
