GENE_ID	GENE_NAME	GENE_DESCRIPTION	EXPR WT O T3	baseMean	log2FoldChange	lfcSE	stat	FC	pvalue	padj
ENSMUSG00000101645	Gm28635	predicted gene 28635 	1	68.72	-9.53	3.38	-2.82	0	0.00485	0.13374
ENSMUSG00000037727	Avp	arginine vasopressin 	1	23.68	5.17	2.03	2.54	35.95	0.01102	0.20515
ENSMUSG00000089999	Gm6485	predicted gene 6485 	1	16.42	-7.47	3.39	-2.21	0.01	0.02745	0.31674
ENSMUSG00000036826	Igflr1	IGF-like family receptor 1 	1	16.46	1.93	1.44	1.34	3.82	0.18023	0.65699
ENSMUSG00000079575	Rbpj-ps3	recombination signal binding protein for immunoglobulin kappa J region, pseudogene 3 	1	18.9	1.81	2.1	0.86	3.51	0.38924	0.83015
ENSMUSG00000078173	Lenep	lens epithelial protein 	1	33.24	-2.09	3.23	-0.65	0.24	0.51837	0.88484
ENSMUSG00000047676	Rpsa-ps10	ribosomal protein SA, pseudogene 10 	1	23.27	0.96	2.15	0.45	1.94	0.65508	0.92518
ENSMUSG00000084106	Gm6136	predicted pseudogene 6136 	1	19.78	0.34	1.18	0.29	1.27	0.77113	0.95319
ENSMUSG00000050243	Gm5446	predicted gene 5446 	1	22.55	-0.81	3.23	-0.25	0.57	0.80113	0.9631
ENSMUSG00000091736	Yy2	Yy2 transcription factor 	1	16.98	-0.6	2.88	-0.21	0.66	0.8351	0.9712
ENSMUSG00000086922	Gm13835	predicted gene 13835 	2	103.72	-2.71	3.23	-0.84	0.15	0.40159	0.83788
ENSMUSG00000113061	Rps18-ps5	ribosomal protein S18, pseudogene 5 	2	92.85	0.94	1.87	0.51	1.92	0.61316	0.9123
ENSMUSG00000101878	Gm8203	predicted pseudogene 8203 	2	44.3	-1.56	3.23	-0.48	0.34	0.63013	0.91713
ENSMUSG00000081087	Rps15a-ps7	ribosomal protein S15A, pseudogene 7 	2	80.45	1.09	2.42	0.45	2.13	0.65295	0.92425
ENSMUSG00000030653	Gm45837	predicted gene 45837 	2	50.62	0.86	3.23	0.27	1.81	0.7909	0.95939
ENSMUSG00000071748	Gm14698	predicted gene 14698 	2	38.74	-0.74	3.13	-0.24	0.6	0.81404	0.96584
ENSMUSG00000094370	Gm3373	predicted gene 3373 	2	26.83	0.51	3.06	0.17	1.43	0.86718	0.97764
ENSMUSG00000110331	Nudc-ps1	nuclear distribution gene C homolog (Aspergillus), pseudogene 1 	2	72.71	-0.32	2.48	-0.13	0.8	0.89717	0.98252
ENSMUSG00000096003	Gm3500	predicted gene 3500 	2	25.55	0.31	3.23	0.1	1.24	0.92408	0.98677
ENSMUSG00000096160	Gm3436	predicted pseudogene 3436 	2	32.22	-0.21	2.27	-0.09	0.86	0.92485	0.98677
ENSMUSG00000084010	Gm13302	predicted gene 13302 	2	34.38	0.15	2.38	0.06	1.11	0.95087	0.99068
ENSMUSG00000108815	Gm49388	predicted gene, 49388 	2	155.5	0.07	3.23	0.02	1.05	0.98188	0.99696
ENSMUSG00000081406	Rps6-ps4	ribosomal protein S6, pseudogene 4 	1	226.79	-11.25	2.93	-3.84	0	0.00012	0.01333
ENSMUSG00000082585	Gm15387	predicted gene 15387 	1	80.39	-9.76	2.77	-3.53	0	0.00042	0.03262
ENSMUSG00000072940	Gm10443	predicted pseudogene 10443 	1	29.23	-8.3	2.62	-3.16	0	0.00155	0.06971
ENSMUSG00000115293	Gm49333	predicted gene, 49333 	1	15.01	-7.34	2.58	-2.85	0.01	0.00443	0.12801
ENSMUSG00000106666	Gm43587	predicted gene 43587 	1	15.42	-7.38	2.6	-2.84	0.01	0.00451	0.12877
ENSMUSG00000078500	Zfp986	zinc finger protein 986 	1	19.28	3.6	1.45	2.48	12.15	0.0132	0.226
ENSMUSG00000027301	Oxt	oxytocin 	1	44.67	3.51	1.62	2.16	11.4	0.03056	0.33008
