GENE	ZSTAT	P_MULTI
ENSG00000187634	-1.0788	0.85967
ENSG00000188976	-0.093903	0.53741
ENSG00000187961	0.17237	0.43158
ENSG00000187583	-0.33601	0.63157
ENSG00000187642	-2.3025	0.98935
ENSG00000188290	-1.7768	0.9622
ENSG00000187608	-2.0227	0.97845
ENSG00000188157	-2.4604	0.99306
ENSG00000237330	-2.0141	0.978
ENSG00000131591	-0.48692	0.68684
ENSG00000162571	1.8881	0.029505
ENSG00000186891	3.1411	0.00084165
ENSG00000186827	3.3547	0.00039719
ENSG00000078808	3.1264	0.00088474
ENSG00000176022	2.8601	0.0021177
ENSG00000160087	1.0945	0.13686
ENSG00000162572	-0.022661	0.50904
ENSG00000131584	-0.47861	0.68389
ENSG00000169972	-0.65135	0.74259
ENSG00000224051	-1.0379	0.85033
ENSG00000169962	-0.72161	0.76473
ENSG00000107404	0.93771	0.1742
ENSG00000162576	1.1503	0.125
ENSG00000175756	0.93273	0.17548
ENSG00000221978	1.2125	0.11266
ENSG00000242485	1.4232	0.077346
ENSG00000235098	1.3689	0.085514
ENSG00000205116	1.2357	0.10829
ENSG00000160072	-1.3711	0.91483
ENSG00000197785	0.48816	0.31272
ENSG00000205090	1.0012	0.15838
ENSG00000160075	1.3188	0.093613
ENSG00000197530	0.32042	0.37433
ENSG00000189409	0.19975	0.42084
ENSG00000189339	-2.5601	0.99477
ENSG00000008128	2.5855	0.004862
ENSG00000008130	3.0424	0.0011733
ENSG00000078369	2.6188	0.0044121
ENSG00000169885	2.5257	0.0057735
ENSG00000178821	2.4142	0.0078856
ENSG00000142609	1.4086	0.079482
ENSG00000187730	0.49832	0.30913
ENSG00000067606	-2.134	0.98358
ENSG00000157933	0.34232	0.36605
ENSG00000116151	-0.85289	0.80314
ENSG00000157916	-0.91903	0.82096
ENSG00000157911	1.1059	0.13438
ENSG00000149527	3.7333	9.45E-05
ENSG00000157881	3.7171	0.00010078
ENSG00000197921	3.8727	5.38E-05
ENSG00000157873	7.5409	2.33E-14
ENSG00000142606	8.3634	3.05E-17
ENSG00000169717	0.095758	0.46186
ENSG00000142611	1.6571	0.048754
ENSG00000130762	0.11608	0.4538
ENSG00000162591	-0.16025	0.56366
ENSG00000158109	0.81366	0.20792
ENSG00000116213	1.4669	0.071205
ENSG00000078900	2.0443	0.020463
ENSG00000162592	-2.1602	0.98462
ENSG00000235169	-2.3213	0.98986
ENSG00000130764	0.22091	0.41258
ENSG00000116198	0.40352	0.34328
