GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
ENSG00000187634    1     854993     884961     23       7  27148      -1.0788      0.85967         0.78571         0.90272
ENSG00000188976    1     874583     899679     40       5  27148    -0.093903      0.53741         0.33313         0.81164
ENSG00000187961    1     890967     906099     26       5  27148      0.17237      0.43158         0.29206         0.61332
ENSG00000187583    1     896872     915488     26       8  27148     -0.33601      0.63157         0.50069         0.75442
ENSG00000187642    1     905579     922473     33       8  27148      -2.3025      0.98935         0.97841         0.99082
ENSG00000188290    1     929342     941608     36       6  27148      -1.7768       0.9622         0.92947          0.9749
ENSG00000187608    1     943847     954920     26       4  27148      -2.0227      0.97845         0.96739         0.98347
ENSG00000188157    1     950503     996499     55       8  27148      -2.4604      0.99306         0.98898         0.98709
ENSG00000237330    1    1002126    1014687     19       5  27148      -2.0141        0.978         0.96747         0.97831
ENSG00000131591    1    1012198    1056736    125      14  27148     -0.48692      0.68684         0.49394         0.85297
ENSG00000162571    1    1104286    1138315    132      17  27148       1.8881     0.029505        0.020553        0.074494
ENSG00000186891    1    1133888    1147163     32       7  27148       3.1411   0.00084165       0.0023421      0.00089973
ENSG00000186827    1    1141706    1154703     32       7  27148       3.3547   0.00039719      0.00065014      0.00059751
ENSG00000078808    1    1147288    1172447     61      11  27148       3.1264   0.00088474       0.0026572       0.0011607
ENSG00000176022    1    1162629    1175421     29       8  27148       2.8601    0.0021177       0.0014679       0.0059753
ENSG00000160087    1    1184292    1214234     45      10  27148       1.0945      0.13686         0.12457         0.16895
ENSG00000162572    1    1210816    1232409     34       9  27148    -0.022661      0.50904         0.42125         0.57638
ENSG00000131584    1    1222764    1248304     14       3  27148     -0.47861      0.68389         0.62851         0.70121
ENSG00000169972    1    1238962    1252057      9       3  27148     -0.65135      0.74259         0.68091         0.78988
ENSG00000224051    1    1255136    1269276     15       3  27148      -1.0379      0.85033         0.85917         0.82289
