# ALPHA = 0.05
# NUMBER_OF_TESTS = 64

# _SET1_  VARIABLE = GO:0010628 (set)
# _SET1_  NGENES = 1132
# _SET1_  P-VALUE = 2.35665e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187608     1     931518     954920     54       7  41505      -2.3147       0.9849    8.8818e-16      -2.3147
_SET1_   ENSG00000186827     1    1141706    1154533     31       7  41505       3.2489   0.00044531    8.8818e-16       3.2489
_SET1_   ENSG00000067606     1    1976850    2121834    337      27  41505      -2.5007      0.98903    8.8818e-16      -2.5007
_SET1_   ENSG00000157873     1    2482078    2501821     33       6  41505       7.6609   2.6105e-15    8.8818e-16       7.6609
_SET1_   ENSG00000158286     1    6260535    6286359     46      10  41505     -0.56253      0.67246    6.6613e-16     -0.56253
_SET1_   ENSG00000049245     1    7826356    7846492     50      13  41505      -0.1619      0.50643    7.2164e-16      -0.1619
_SET1_   ENSG00000116288     1    8009351    8050565     59       9  41505      0.97418      0.12861    6.6613e-16      0.97418
_SET1_   ENSG00000074800     1    8916059    8944249     42       7  41505      0.61762      0.22051    6.6613e-16      0.61762
_SET1_   ENSG00000284357     1    9206727    9216836     19      10  41505      -1.2728      0.87252    6.6613e-16      -1.2728
_SET1_   ENSG00000171608     1    9684947    9794172    160      30  41505      -0.4257      0.60057    7.2164e-16      -0.4257
_SET1_   ENSG00000120948     1   11067401   11095585     51       5  41505     -0.65932      0.69999    6.6613e-16     -0.65932
_SET1_   ENSG00000198793     1   11161592   11327613    271       8  41505      -1.3259      0.87604    6.6613e-16      -1.3259
_SET1_   ENSG00000116670     1   11713975   11756868    105      22  41505     0.016221      0.42946    7.1471e-16     0.016221
_SET1_   ENSG00000120949     1   12118360   12209264    196      43  41505        2.056     0.012821    8.8818e-16        2.056
_SET1_   ENSG00000159363     1   17307453   17343423     64      12  41505       2.2949    0.0070378    8.8818e-16       2.2949
_SET1_   ENSG00000117115     1   17388256   17450946    252      16  41505       1.2227      0.07782    6.6613e-16       1.2227
_SET1_   ENSG00000158828     1   20954951   20983004     91      12  41505      -1.4299      0.89777    6.6613e-16      -1.4299
_SET1_   ENSG00000133216     1   23032332   23252993    385      46  41505      0.90759       0.1311    6.6613e-16      0.90759
_SET1_   ENSG00000117318     1   23879417   23890992     22      10  41505       2.5297    0.0036915    8.8818e-16       2.5297
_SET1_   ENSG00000142676     1   24013232   24028325     20       6  41505     -0.21179      0.53008    7.2164e-16     -0.21179
_SET1_   ENSG00000158055     1   24521048   24695972    449      45  41505     -0.34738      0.54814    7.2164e-16     -0.34738
_SET1_   ENSG00000131914     1   26732308   26761219     41      11  41505       1.4396      0.05505    6.6613e-16       1.4396
_SET1_   ENSG00000117713     1   27014727   27113595     89       8  41505      0.61678      0.23014    6.6613e-16      0.61678
_SET1_   ENSG00000131910     1   27232980   27245466     19       7  41505      0.26705      0.35144    7.2164e-16      0.26705
_SET1_   ENSG00000158246     1   27326511   27344341      8       3  41505      0.39063      0.32487    7.2164e-16      0.39063
_SET1_   ENSG00000000938     1   27933575   27966696     31       8  41505     -0.44378      0.65908    7.2164e-16     -0.44378
_SET1_   ENSG00000169403     1   28468677   28525447     44      10  41505    -0.088245      0.47803    7.2164e-16    -0.088245
_SET1_   ENSG00000198492     1   29058133   29101287     48       7  41505      -1.0046      0.80157    6.6613e-16      -1.0046
_SET1_   ENSG00000162511     1   31200316   31235621     74      22  41505       1.2235     0.082663    6.6613e-16       1.2235
_SET1_   ENSG00000121774     1   32474469   32531451     18      10  41505       1.7561     0.032094    6.6613e-16       1.7561
_SET1_   ENSG00000025800     1   32568657   32647164     48       7  41505       2.2441     0.010028    8.8818e-16       2.2441
_SET1_   ENSG00000116478     1   32752684   32804236      5       4  41505       4.2149   7.7461e-06    8.8818e-16       4.2149
_SET1_   ENSG00000126070     1   36391319   36543101    103      10  41505     -0.61382       0.7023    6.6613e-16     -0.61382
_SET1_   ENSG00000054118     1   36685033   36775958     54       8  41505      0.87538      0.15608    6.6613e-16      0.87538
_SET1_   ENSG00000163874     1   37935181   37954978     27      11  41505       1.5824     0.041942    6.6613e-16       1.5824
_SET1_   ENSG00000185668     1   38504501   38517465     11       6  41505       1.3791     0.067681    6.6613e-16       1.3791
_SET1_   ENSG00000084073     1   40718713   40764852     47      10  41505      -2.1145      0.97605    8.8818e-16      -2.1145
_SET1_   ENSG00000065978     1   43143089   43174476     44       8  41505     -0.80895       0.7453    6.6613e-16     -0.80895
_SET1_   ENSG00000164007     1   43193764   43210925     33       8  41505      0.78245       0.1763    6.6613e-16      0.78245
_SET1_   ENSG00000066135     1   44110820   44176189     75      10  41505     -0.80424      0.73872    6.6613e-16     -0.80424
_SET1_   ENSG00000117461     1   46500812   46603708    158      11  41505     0.061393      0.40394    7.1471e-16     0.061393
