# ALPHA = 0.05
# NUMBER_OF_TESTS = 217

# _SET1_  VARIABLE = GO:0002262 (set)
# _SET1_  NGENES = 160
# _SET1_  P-VALUE = 2.15298e-05
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187608     1     931518     954920     54       7  41505      -2.3147       0.9849    8.8818e-16      -2.3147
_SET1_   ENSG00000171608     1    9684947    9794172    160      30  41505      -0.4257      0.60057    7.2164e-16      -0.4257
_SET1_   ENSG00000158156     1   28281099   28299604     34      11  41505      0.90814      0.15264    6.6613e-16      0.90814
_SET1_   ENSG00000130770     1   28557620   28578417     59       6  41505      0.25629      0.34047    7.2164e-16      0.25629
_SET1_   ENSG00000117400     1   43798489   43825137     19       6  41505     -0.65054      0.69357    6.6613e-16     -0.65054
_SET1_   ENSG00000117450     1   45971586   46013404     92       8  41505     -0.69881      0.70187    6.6613e-16     -0.69881
_SET1_   ENSG00000162367     1   47676962   47702897     49       8  41505      0.78299      0.17514    6.6613e-16      0.78299
_SET1_   ENSG00000184588     1   66253197   66845262   1226      61  41505     -0.37725      0.51105    7.2164e-16     -0.37725
_SET1_   ENSG00000069702     1   92140900   92376892    685      53  41505       4.2705   2.9612e-06    8.8818e-16       4.2705
_SET1_   ENSG00000143437     1  150777189  150854184     72      12  41505       2.4257     0.004865    8.8818e-16       2.4257
_SET1_   ENSG00000160710     1  154549171  154605489     93      10  41505     -0.30775      0.55503    7.2164e-16     -0.30775
_SET1_   ENSG00000162736     1  160308084  160333742     54      14  41505       3.4585   0.00015491    8.8818e-16       3.4585
_SET1_   ENSG00000263961     1  206233881  206293196      7       3  41505      0.35839      0.32655    7.2164e-16      0.35839
_SET1_   ENSG00000143479     1  206803881  206862764    105      16  41505       -2.119       0.9748    8.8818e-16       -2.119
_SET1_   ENSG00000162769     1  213026617  213077705    253      13  41505    -0.037177      0.43564    7.1471e-16    -0.037177
_SET1_   ENSG00000143772     1  226814391  226932024    170      29  41505       3.4622   0.00013988    8.8818e-16       3.4622
_SET1_   ENSG00000135776     1  229647329  229699454     60       9  41505      0.12483      0.39452    7.2164e-16      0.12483
_SET1_   ENSG00000162722     1  248015489  248048440    121      19  41505     -0.64405      0.68256    6.6613e-16     -0.64405
_SET1_   ENSG00000115738     2    8813975    8829591     23       7  41505      -1.3344      0.89168    6.6613e-16      -1.3344
_SET1_   ENSG00000151694     2    9623615    9701861    147      12  41505       1.4144     0.055455    6.6613e-16       1.4144
_SET1_   ENSG00000116016     2   46515806   46618836    227      36  41505      0.64437      0.20059    6.6613e-16      0.64437
_SET1_   ENSG00000153094     2  111871955  111931022     93      14  41505       3.1962     0.000382    8.8818e-16       3.1962
_SET1_   ENSG00000153208     2  112651184  112792138    399      19  41505       4.8802   1.6882e-07    8.8818e-16       4.8802
_SET1_   ENSG00000121989     2  148597086  148693395     91      10  41505     -0.88272      0.76396    6.6613e-16     -0.88272
_SET1_   ENSG00000172845     2  174740578  174835101    236      22  41505       1.3413     0.065283    6.6613e-16       1.3413
_SET1_   ENSG00000115415     2  191768186  191890686    207      30  41505         1.47     0.050124    6.6613e-16         1.47
_SET1_   ENSG00000123999     2  220428884  220445433     38      12  41505      -1.1487      0.84067    6.6613e-16      -1.1487
_SET1_   ENSG00000168918     2  233919677  234121549    406      48  41505       2.2922    0.0061004    8.8818e-16       2.2922
_SET1_   ENSG00000144659     3   39419861   39443842     54       8  41505     -0.74506      0.72226    6.6613e-16     -0.74506
_SET1_   ENSG00000121807     3   46390355   46407431     43       8  41505      0.52089      0.25652    6.6613e-16      0.52089
_SET1_   ENSG00000178467     3   49022322   49049586     14       4  41505       1.0156      0.12476    6.6613e-16       1.0156
_SET1_   ENSG00000023330     3   52227102   52253343     20       4  41505        0.841      0.16009    6.6613e-16        0.841
_SET1_   ENSG00000163930     3   52430024   52449024     14       6  41505      -2.3611      0.98829    8.8818e-16      -2.3611
_SET1_   ENSG00000180353     3  121345246  121384774     86      12  41505       3.4093   0.00017907    8.8818e-16       3.4093
_SET1_   ENSG00000179348     3  128193270  128217044     59      15  41505       1.7154        0.031    6.6613e-16       1.7154
_SET1_   ENSG00000081307     3  132368290  132403638     28       7  41505       1.1352      0.10426    6.6613e-16       1.1352
_SET1_   ENSG00000051382     3  138366540  138558770    176       9  41505      0.24046      0.33176    7.2164e-16      0.24046
_SET1_   ENSG00000113916     3  187434165  187468513     70      17  41505     -0.42981       0.6106    7.2164e-16     -0.42981
