GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
ENSG00000187634    1     854993     884961     71      21  22389    -0.030409      0.51213         0.32392         0.71814
ENSG00000188976    1     874583     899679     68      15  22389      -1.2508      0.89449         0.78889         0.90136
ENSG00000187961    1     890967     906099     47      13  22389     0.015351      0.49388         0.59405         0.36579
ENSG00000187583    1     896872     915488     60      20  22389     -0.38536      0.65001         0.74376         0.49466
ENSG00000187642    1     905579     922473     61      17  22389     -0.51437       0.6965          0.8019         0.53594
ENSG00000188290    1     929342     941608     48      13  22389      -1.8913      0.97071         0.93383         0.96349
ENSG00000187608    1     943847     954920     31       7  22389       0.1955       0.4225         0.81568         0.20738
ENSG00000188157    1     950503     996499    119      23  22389     -0.17918       0.5711         0.60831         0.44508
ENSG00000237330    1    1002126    1014687     25       8  22389     -0.13236      0.55265         0.46936         0.60744
ENSG00000131591    1    1012198    1056736    150      24  22389    -0.037824      0.51509         0.50854          0.4319
ENSG00000162571    1    1104286    1138315    167      27  22389       1.1076      0.13403         0.09771         0.22834
ENSG00000186891    1    1133888    1147163     41      10  22389      0.44835      0.32695         0.27131         0.38071
ENSG00000186827    1    1141706    1154703     47      11  22389      0.85225      0.19704         0.10311         0.39163
ENSG00000078808    1    1147288    1172447    126      16  22389        1.306     0.095771        0.060979         0.23251
ENSG00000176022    1    1162629    1175421     52      10  22389       1.3724     0.084967        0.087205         0.11339
ENSG00000160087    1    1184292    1214234     80      16  22389     -0.50906      0.69464         0.60743         0.64961
ENSG00000162572    1    1210816    1232409     72      19  22389     -0.76371      0.77748         0.73951         0.73118
ENSG00000131584    1    1222764    1248304     55      14  22389     -0.93881      0.82609         0.76495         0.81727
ENSG00000169972    1    1238962    1252057     23       7  22389     -0.54254      0.70628         0.77274         0.60553
ENSG00000224051    1    1255136    1269276     36      11  22389     -0.80989        0.791         0.90845         0.61923
ENSG00000169962    1    1261726    1274844     43      11  22389     -0.63487      0.73724         0.85086         0.56652
ENSG00000107404    1    1265658    1289509     62      12  22389     -0.69034      0.75501         0.86621         0.58004
ENSG00000162576    1    1283071    1302183     65      11  22389      -1.0918      0.86255         0.88313         0.77207
ENSG00000175756    1    1304110    1315818     54       9  22389     -0.82466      0.79522         0.65369         0.90664
ENSG00000221978    1    1316091    1339718     47      11  22389     -0.71172      0.76168         0.70079         0.75099
ENSG00000242485    1    1332276    1347693     37      10  22389     -0.91466      0.81982          0.8124         0.73943
ENSG00000235098    1    1348800    1361824     45       8  22389     -0.49683      0.69035         0.73889         0.56879
ENSG00000205116    1    1356508    1368167     45      10  22389     -0.29235      0.61499         0.55995         0.60397
ENSG00000179403    1    1365903    1383262     35      10  22389      0.40165      0.34397         0.27503         0.41063
ENSG00000215915    1    1373152    1410538     74      15  22389      -0.3529      0.63792         0.66828          0.5406
ENSG00000160072    1    1402139    1449852     93      15  22389      -1.0078      0.84322          0.9032         0.65702
ENSG00000197785    1    1442523    1475067     74      17  22389      -0.5023      0.69227          0.7133         0.58016
ENSG00000205090    1    1465158    1480740     41      12  22389     -0.14684      0.55837         0.66894         0.42413
ENSG00000160075    1    1472053    1515262    127      17  22389     -0.35124      0.63729         0.60993         0.56275
ENSG00000197530    1    1545795    1570990     46      10  22389     -0.34073      0.63335         0.65603         0.57183
ENSG00000189409    1    1562060    1575030     10       5  22389     0.083452      0.46675         0.45725          0.4527
ENSG00000189339    1    1586486    1629243     52      14  22389       -2.086      0.98151         0.97063         0.96188
ENSG00000008128    1    1628822    1660999     43       9  22389    -0.087527      0.53487         0.63938         0.40097
ENSG00000008130    1    1677671    1716508     73      13  22389      0.95558      0.16964        0.096303         0.32069
ENSG00000078369    1    1711725    1827552    149      26  22389      0.44962      0.32649          0.1978         0.51253
ENSG00000169885    1    1841266    1853733     44      10  22389       1.1773      0.11955        0.068867         0.23769
ENSG00000178821    1    1844029    1855740     46       8  22389       1.1545      0.12415        0.079406         0.22153
ENSG00000142609    1    1848390    1940276    343      35  22389       1.9054     0.028361         0.15789        0.010822
ENSG00000187730    1    1945768    1967192     53      13  22389     -0.67333      0.74963         0.65662         0.77857
ENSG00000067606    1    1976909    2121834    418      43  22389      0.41563      0.33884         0.16466         0.65031
ENSG00000157933    1    2155134    2246652    254      52  22389      0.25008      0.40126         0.24336         0.58398
ENSG00000116151    1    2246719    2328190    331      48  22389      -1.2069      0.88626         0.93712         0.74603
ENSG00000157916    1    2318214    2341883     67      22  22389     -0.31288      0.62282         0.53307         0.61647
ENSG00000157911    1    2331241    2349010     53      22  22389      -0.6433      0.73998         0.74083         0.62426
ENSG00000149527    1    2402754    2441964     94      26  22389     0.066381      0.47354         0.35566         0.55176
ENSG00000157881    1    2434975    2463061     72      17  22389      0.27636      0.39114         0.30973         0.43889
ENSG00000197921    1    2455184    2466684     31      12  22389     -0.10253      0.54083          0.4073         0.62607
ENSG00000157873    1    2482291    2500268     39       9  22389     -0.55052      0.70902         0.50246         0.84015
ENSG00000142606    1    2517078    2569499    169      20  22389      0.25049       0.4011         0.43834         0.32709
ENSG00000169717    1    2933046    2944467     26       6  22389       1.0278      0.15202        0.081278          0.3374
ENSG00000142611    1    2980565    3360185   1413     148  22389     -0.70414      0.75933         0.67014         0.67321
ENSG00000130762    1    3366147    3402677    119      20  22389       1.3522     0.088149         0.11296        0.095854
ENSG00000162591    1    3399506    3533059    542      79  22389       2.3888    0.0084511        0.006343        0.054712
ENSG00000158109    1    3536556    3551695     43      12  22389      0.30212      0.38128         0.71735          0.1909
ENSG00000116213    1    3542331    3571671     54      13  22389      -1.7336      0.95851         0.94483         0.93276
ENSG00000078900    1    3564129    3657765    316      56  22389     -0.75423      0.77464         0.73436          0.6813
ENSG00000162592    1    3663965    3693209     97      26  22389       1.1361      0.12796         0.17766         0.11497
ENSG00000235169    1    3684352    3697546     70      13  22389        1.822     0.034225        0.040106        0.044081
ENSG00000130764    1    3691784    3718068    140      22  22389       1.7496     0.040097        0.018632         0.13689
ENSG00000116198    1    3723645    3778797    336      21  22389        1.372     0.085037         0.09339         0.10585
ENSG00000169598    1    3768845    3806993    235      36  22389      0.71055      0.23868         0.31576         0.18671
ENSG00000198912    1    3800697    3821857     86      17  22389      -1.7373      0.95884         0.94269         0.89281
ENSG00000196581    1    4710105    4848851    677      78  22389     -0.33608      0.63159          0.5304         0.63103
ENSG00000131697    1    5917870    6057618    438      31  22389      0.13973      0.44444         0.29388         0.58118
ENSG00000069424    1    6047358    6166253    354      64  22389      -1.4627      0.92822         0.91183         0.84119
ENSG00000116254    1    6156847    6245194    297      39  22389      0.69857      0.24241         0.19728         0.30655
ENSG00000116251    1    6240080    6264679     50      12  22389       2.2008     0.013875        0.010542        0.038906
ENSG00000158286    1    6261189    6286359     56      14  22389     0.041227      0.48356         0.49945         0.42313
ENSG00000116237    1    6276253    6301044     49      13  22389      0.79543      0.21318         0.11914         0.39814
